#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   1.1371997E-05   1.8484317E+07   1.8484317E+07   2.4634588E+07   1.1718759E+04   2.0430748E+07   1.8484332E+07   1.8484317E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.2220438E-05   1.8484314E+07   1.8484314E+07   2.4632855E+07   1.1718225E+04   2.0430398E+07   1.8484328E+07   1.8484314E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3132178E-05   1.8484309E+07   1.8484309E+07   2.4630854E+07   1.1717609E+04   2.0429995E+07   1.8484324E+07   1.8484309E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4111941E-05   1.8484304E+07   1.8484304E+07   2.4628543E+07   1.1716897E+04   2.0429529E+07   1.8484319E+07   1.8484304E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.5164802E-05   1.8484299E+07   1.8484299E+07   2.4625875E+07   1.1716076E+04   2.0428992E+07   1.8484313E+07   1.8484299E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6296215E-05   1.8484292E+07   1.8484292E+07   2.4622794E+07   1.1715127E+04   2.0428371E+07   1.8484306E+07   1.8484292E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.7512041E-05   1.8484284E+07   1.8484284E+07   2.4619237E+07   1.1714031E+04   2.0427654E+07   1.8484298E+07   1.8484284E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8818576E-05   1.8484276E+07   1.8484276E+07   2.4615130E+07   1.1712767E+04   2.0426827E+07   1.8484289E+07   1.8484276E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.0222589E-05   1.8484266E+07   1.8484266E+07   2.4610388E+07   1.1711306E+04   2.0425872E+07   1.8484278E+07   1.8484266E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.1731352E-05   1.8484254E+07   1.8484254E+07   2.4604912E+07   1.1709620E+04   2.0424769E+07   1.8484266E+07   1.8484254E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.3352681E-05   1.8484240E+07   1.8484240E+07   2.4598591E+07   1.1707673E+04   2.0423496E+07   1.8484252E+07   1.8484240E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.5094974E-05   1.8484225E+07   1.8484225E+07   2.4591294E+07   1.1705425E+04   2.0422026E+07   1.8484236E+07   1.8484225E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.6967256E-05   1.8484207E+07   1.8484207E+07   2.4582869E+07   1.1702830E+04   2.0420330E+07   1.8484217E+07   1.8484207E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.8979224E-05   1.8484186E+07   1.8484186E+07   2.4573143E+07   1.1699834E+04   2.0418372E+07   1.8484195E+07   1.8484186E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.1141301E-05   1.8484162E+07   1.8484162E+07   2.4561917E+07   1.1696375E+04   2.0416113E+07   1.8484170E+07   1.8484162E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.3464686E-05   1.8484134E+07   1.8484134E+07   2.4548959E+07   1.1692383E+04   2.0413505E+07   1.8484141E+07   1.8484134E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.5961414E-05   1.8484102E+07   1.8484102E+07   2.4534004E+07   1.1687774E+04   2.0410497E+07   1.8484108E+07   1.8484102E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.8644417E-05   1.8484065E+07   1.8484065E+07   2.4516744E+07   1.1682455E+04   2.0407026E+07   1.8484069E+07   1.8484065E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.1527593E-05   1.8484022E+07   1.8484022E+07   2.4496827E+07   1.1676315E+04   2.0403022E+07   1.8484025E+07   1.8484022E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.4625876E-05   1.8483973E+07   1.8483973E+07   2.4473846E+07   1.1669230E+04   2.0398404E+07   1.8483973E+07   1.8483973E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.7955316E-05   1.8483916E+07   1.8483916E+07   2.4447333E+07   1.1661054E+04   2.0393080E+07   1.8483914E+07   1.8483916E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.1533158E-05   1.8483850E+07   1.8483850E+07   2.4416749E+07   1.1651620E+04   2.0386941E+07   1.8483846E+07   1.8483850E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.5377935E-05   1.8483774E+07   1.8483774E+07   2.4381477E+07   1.1640737E+04   2.0379865E+07   1.8483766E+07   1.8483774E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.9509562E-05   1.8483686E+07   1.8483686E+07   2.4340804E+07   1.1628184E+04   2.0371712E+07   1.8483675E+07   1.8483686E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   6.3949441E-05   1.8483585E+07   1.8483585E+07   2.4293914E+07   1.1613706E+04   2.0362322E+07   1.8483570E+07   1.8483585E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   6.8720570E-05   1.8483468E+07   1.8483468E+07   2.4239872E+07   1.1597012E+04   2.0351509E+07   1.8483448E+07   1.8483468E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   7.3847663E-05   1.8483333E+07   1.8483333E+07   2.4177606E+07   1.1577768E+04   2.0339066E+07   1.8483308E+07   1.8483333E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   7.9357276E-05   1.8483178E+07   1.8483178E+07   2.4105887E+07   1.1555590E+04   2.0324753E+07   1.8483146E+07   1.8483178E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   8.5277951E-05   1.8482998E+07   1.8482998E+07   2.4023316E+07   1.1530037E+04   2.0308300E+07   1.8482958E+07   1.8482998E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   9.1640353E-05   1.8482791E+07   1.8482791E+07   2.3928294E+07   1.1500609E+04   2.0289400E+07   1.8482743E+07   1.8482791E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   9.8477441E-05   1.8482551E+07   1.8482551E+07   2.3819002E+07   1.1466729E+04   2.0267707E+07   1.8482493E+07   1.8482551E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
