#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   1.1523768E-05   1.2800016E+07   1.2800016E+07   1.7060567E+07   7.8111743E+03   7.9387444E+06   1.2800040E+07   1.2800016E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.2383532E-05   1.2800014E+07   1.2800014E+07   1.7059617E+07   7.8108939E+03   7.9386505E+06   1.2800037E+07   1.2800014E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3307440E-05   1.2800012E+07   1.2800012E+07   1.7058520E+07   7.8105700E+03   7.9385421E+06   1.2800035E+07   1.2800012E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4300279E-05   1.2800009E+07   1.2800009E+07   1.7057253E+07   7.8101961E+03   7.9384169E+06   1.2800032E+07   1.2800009E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.5367192E-05   1.2800006E+07   1.2800006E+07   1.7055791E+07   7.8097643E+03   7.9382723E+06   1.2800029E+07   1.2800006E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6513705E-05   1.2800002E+07   1.2800002E+07   1.7054102E+07   7.8092657E+03   7.9381054E+06   1.2800025E+07   1.2800002E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.7745757E-05   1.2799998E+07   1.2799998E+07   1.7052151E+07   7.8086900E+03   7.9379127E+06   1.2800020E+07   1.2799998E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.9069729E-05   1.2799993E+07   1.2799993E+07   1.7049900E+07   7.8080252E+03   7.9376902E+06   1.2800015E+07   1.2799993E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.0492480E-05   1.2799987E+07   1.2799987E+07   1.7047299E+07   7.8072576E+03   7.9374333E+06   1.2800009E+07   1.2799987E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.2021379E-05   1.2799980E+07   1.2799980E+07   1.7044297E+07   7.8063713E+03   7.9371367E+06   1.2800002E+07   1.2799980E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.3664347E-05   1.2799972E+07   1.2799972E+07   1.7040831E+07   7.8053479E+03   7.9367943E+06   1.2799994E+07   1.2799972E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.5429892E-05   1.2799963E+07   1.2799963E+07   1.7036830E+07   7.8041663E+03   7.9363991E+06   1.2799984E+07   1.2799963E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.7327161E-05   1.2799953E+07   1.2799953E+07   1.7032210E+07   7.8028021E+03   7.9359429E+06   1.2799973E+07   1.2799953E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
