#        a       HoverH0(a)       dlogHdloga_of_a(a)
   1.0000000E-04   1.1293431E+06   -1.8751458E+00
   1.0046181E-04   1.1196290E+06   -1.8747137E+00
   1.0092575E-04   1.1100008E+06   -1.8742806E+00
   1.0139184E-04   1.1004575E+06   -1.8738465E+00
   1.0186008E-04   1.0909985E+06   -1.8734114E+00
   1.0233048E-04   1.0816229E+06   -1.8729753E+00
   1.0280305E-04   1.0723301E+06   -1.8725382E+00
   1.0327781E-04   1.0631193E+06   -1.8721001E+00
   1.0375475E-04   1.0539897E+06   -1.8716610E+00
   1.0423390E-04   1.0449406E+06   -1.8712210E+00
   1.0471527E-04   1.0359713E+06   -1.8707800E+00
   1.0519885E-04   1.0270811E+06   -1.8703379E+00
   1.0568467E-04   1.0182693E+06   -1.8698950E+00
   1.0617274E-04   1.0095351E+06   -1.8694510E+00
   1.0666305E-04   1.0008779E+06   -1.8690060E+00
   1.0715563E-04   9.9229695E+05   -1.8685601E+00
   1.0765049E-04   9.8379161E+05   -1.8681132E+00
   1.0814763E-04   9.7536118E+05   -1.8676653E+00
   1.0864707E-04   9.6700500E+05   -1.8672164E+00
   1.0914881E-04   9.5872239E+05   -1.8667666E+00
   1.0965287E-04   9.5051269E+05   -1.8663158E+00
   1.1015926E-04   9.4237525E+05   -1.8658641E+00
   1.1066799E-04   9.3430942E+05   -1.8654113E+00
   1.1117906E-04   9.2631457E+05   -1.8649577E+00
   1.1169250E-04   9.1839004E+05   -1.8645030E+00
   1.1220831E-04   9.1053522E+05   -1.8640474E+00
   1.1272650E-04   9.0274948E+05   -1.8635908E+00
   1.1324708E-04   8.9503219E+05   -1.8631333E+00
   1.1377007E-04   8.8738276E+05   -1.8626748E+00
   1.1429547E-04   8.7980056E+05   -1.8622154E+00
   1.1482330E-04   8.7228499E+05   -1.8617550E+00
   1.1535356E-04   8.6483546E+05   -1.8612936E+00
   1.1588628E-04   8.5745138E+05   -1.8608313E+00
   1.1642145E-04   8.5013215E+05   -1.8603681E+00
   1.1695910E-04   8.4287720E+05   -1.8599039E+00
   1.1749923E-04   8.3568596E+05   -1.8594388E+00
   1.1804185E-04   8.2855784E+05   -1.8589728E+00
   1.1858698E-04   8.2149229E+05   -1.8585058E+00
   1.1913463E-04   8.1448875E+05   -1.8580378E+00
   1.1968481E-04   8.0754666E+05   -1.8575690E+00
   1.2023752E-04   8.0066547E+05   -1.8570992E+00
   1.2079279E-04   7.9384463E+05   -1.8566285E+00
   1.2135063E-04   7.8708361E+05   -1.8561568E+00
   1.2191104E-04   7.8038187E+05   -1.8556843E+00
   1.2247403E-04   7.7373888E+05   -1.8552108E+00
   1.2303963E-04   7.6715412E+05   -1.8547364E+00
   1.2360784E-04   7.6062705E+05   -1.8542610E+00
   1.2417868E-04   7.5415717E+05   -1.8537848E+00
   1.2475215E-04   7.4774397E+05   -1.8533076E+00
   1.2532826E-04   7.4138693E+05   -1.8528296E+00
   1.2590704E-04   7.3508556E+05   -1.8523506E+00
   1.2648850E-04   7.2883936E+05   -1.8518707E+00
   1.2707263E-04   7.2264783E+05   -1.8513900E+00
   1.2765947E-04   7.1651049E+05   -1.8509083E+00
   1.2824901E-04   7.1042685E+05   -1.8504257E+00
   1.2884128E-04   7.0439643E+05   -1.8499422E+00
   1.2943628E-04   6.9841876E+05   -1.8494579E+00
   1.3003403E-04   6.9249337E+05   -1.8489726E+00
   1.3063454E-04   6.8661978E+05   -1.8484865E+00
   1.3123783E-04   6.8079753E+05   -1.8479995E+00
   1.3184390E-04   6.7502618E+05   -1.8475116E+00
   1.3245277E-04   6.6930525E+05   -1.8470228E+00
   1.3306445E-04   6.6363430E+05   -1.8465332E+00
   1.3367895E-04   6.5801289E+05   -1.8460427E+00
   1.3429630E-04   6.5244058E+05   -1.8455513E+00
   1.3491649E-04   6.4691691E+05   -1.8450590E+00
   1.3553955E-04   6.4144147E+05   -1.8445659E+00
   1.3616548E-04   6.3601382E+05   -1.8440719E+00
   1.3679431E-04   6.3063353E+05   -1.8435771E+00
   1.3742604E-04   6.2530018E+05   -1.8430814E+00
   1.3806069E-04   6.2001336E+05   -1.8425848E+00
   1.3869827E-04   6.1477264E+05   -1.8420874E+00
   1.3933879E-04   6.0957762E+05   -1.8415892E+00
   1.3998227E-04   6.0442788E+05   -1.8410901E+00
   1.4062872E-04   5.9932303E+05   -1.8405902E+00
   1.4127816E-04   5.9426267E+05   -1.8400895E+00
   1.4193060E-04   5.8924639E+05   -1.8395879E+00
   1.4258605E-04   5.8427380E+05   -1.8390855E+00
   1.4324453E-04   5.7934452E+05   -1.8385822E+00
   1.4390605E-04   5.7445816E+05   -1.8380782E+00
   1.4457062E-04   5.6961434E+05   -1.8375733E+00
   1.4523826E-04   5.6481268E+05   -1.8370676E+00
   1.4590899E-04   5.6005280E+05   -1.8365611E+00
   1.4658281E-04   5.5533433E+05   -1.8360538E+00
   1.4725974E-04   5.5065690E+05   -1.8355456E+00
   1.4793981E-04   5.4602014E+05   -1.8350367E+00
   1.4862301E-04   5.4142370E+05   -1.8345270E+00
   1.4930936E-04   5.3686722E+05   -1.8340165E+00
   1.4999889E-04   5.3235033E+05   -1.8335052E+00
   1.5069160E-04   5.2787269E+05   -1.8329931E+00
   1.5138751E-04   5.2343395E+05   -1.8324802E+00
   1.5208663E-04   5.1903376E+05   -1.8319665E+00
   1.5278899E-04   5.1467178E+05   -1.8314521E+00
   1.5349458E-04   5.1034767E+05   -1.8309369E+00
   1.5420343E-04   5.0606109E+05   -1.8304209E+00
   1.5491556E-04   5.0181171E+05   -1.8299041E+00
   1.5563098E-04   4.9759920E+05   -1.8293866E+00
   1.5634970E-04   4.9342322E+05   -1.8288684E+00
   1.5707174E-04   4.8928347E+05   -1.8283493E+00
   1.5779711E-04   4.8517960E+05   -1.8278296E+00
   1.5852584E-04   4.8111131E+05   -1.8273091E+00
   1.5925792E-04   4.7707827E+05   -1.8267878E+00
   1.5999339E-04   4.7308018E+05   -1.8262658E+00
   1.6073226E-04   4.6911673E+05   -1.8257431E+00
   1.6147454E-04   4.6518760E+05   -1.8252196E+00
   1.6222024E-04   4.6129250E+05   -1.8246954E+00
   1.6296939E-04   4.5743111E+05   -1.8241705E+00
   1.6372200E-04   4.5360315E+05   -1.8236449E+00
   1.6447809E-04   4.4980831E+05   -1.8231185E+00
   1.6523767E-04   4.4604630E+05   -1.8225915E+00
   1.6600075E-04   4.4231683E+05   -1.8220637E+00
   1.6676736E-04   4.3861961E+05   -1.8215352E+00
   1.6753751E-04   4.3495435E+05   -1.8210061E+00
   1.6831122E-04   4.3132077E+05   -1.8204762E+00
   1.6908849E-04   4.2771859E+05   -1.8199457E+00
   1.6986936E-04   4.2414753E+05   -1.8194145E+00
   1.7065384E-04   4.2060732E+05   -1.8188826E+00
   1.7144193E-04   4.1709768E+05   -1.8183500E+00
   1.7223367E-04   4.1361834E+05   -1.8178167E+00
   1.7302906E-04   4.1016904E+05   -1.8172828E+00
   1.7382813E-04   4.0674950E+05   -1.8167482E+00
   1.7463089E-04   4.0335946E+05   -1.8162130E+00
   1.7543735E-04   3.9999866E+05   -1.8156771E+00
   1.7624754E-04   3.9666685E+05   -1.8151405E+00
   1.7706147E-04   3.9336376E+05   -1.8146034E+00
   1.7787916E-04   3.9008914E+05   -1.8140655E+00
   1.7870062E-04   3.8684274E+05   -1.8135271E+00
   1.7952588E-04   3.8362431E+05   -1.8129880E+00
   1.8035495E-04   3.8043361E+05   -1.8124482E+00
   1.8118785E-04   3.7727038E+05   -1.8119079E+00
   1.8202459E-04   3.7413438E+05   -1.8113669E+00
   1.8286520E-04   3.7102537E+05   -1.8108254E+00
   1.8370969E-04   3.6794313E+05   -1.8102832E+00
   1.8455808E-04   3.6488739E+05   -1.8097404E+00
   1.8541039E-04   3.6185794E+05   -1.8091970E+00
   1.8626663E-04   3.5885455E+05   -1.8086530E+00
   1.8712683E-04   3.5587697E+05   -1.8081085E+00
   1.8799100E-04   3.5292498E+05   -1.8075633E+00
   1.8885917E-04   3.4999836E+05   -1.8070176E+00
   1.8973134E-04   3.4709688E+05   -1.8064713E+00
   1.9060754E-04   3.4422033E+05   -1.8059244E+00
   1.9148778E-04   3.4136847E+05   -1.8053770E+00
   1.9237209E-04   3.3854109E+05   -1.8048290E+00
   1.9326049E-04   3.3573798E+05   -1.8042804E+00
   1.9415299E-04   3.3295892E+05   -1.8037313E+00
   1.9504960E-04   3.3020370E+05   -1.8031817E+00
   1.9595036E-04   3.2747212E+05   -1.8026315E+00
   1.9685528E-04   3.2476395E+05   -1.8020808E+00
   1.9776438E-04   3.2207899E+05   -1.8015296E+00
   1.9867768E-04   3.1941705E+05   -1.8009778E+00
   1.9959519E-04   3.1677791E+05   -1.8004255E+00
   2.0051694E-04   3.1416137E+05   -1.7998727E+00
   2.0144295E-04   3.1156724E+05   -1.7993194E+00
   2.0237324E-04   3.0899532E+05   -1.7987656E+00
   2.0330782E-04   3.0644542E+05   -1.7982113E+00
   2.0424671E-04   3.0391733E+05   -1.7976565E+00
   2.0518995E-04   3.0141087E+05   -1.7971012E+00
   2.0613754E-04   2.9892584E+05   -1.7965454E+00
   2.0708950E-04   2.9646207E+05   -1.7959891E+00
   2.0804586E-04   2.9401935E+05   -1.7954324E+00
   2.0900664E-04   2.9159751E+05   -1.7948752E+00
   2.0997185E-04   2.8919636E+05   -1.7943176E+00
   2.1094152E-04   2.8681572E+05   -1.7937594E+00
   2.1191567E-04   2.8445541E+05   -1.7932009E+00
   2.1289432E-04   2.8211525E+05   -1.7926419E+00
   2.1387749E-04   2.7979506E+05   -1.7920824E+00
   2.1486520E-04   2.7749467E+05   -1.7915226E+00
   2.1585747E-04   2.7521390E+05   -1.7909623E+00
   2.1685432E-04   2.7295258E+05   -1.7904015E+00
   2.1785578E-04   2.7071055E+05   -1.7898404E+00
   2.1886186E-04   2.6848762E+05   -1.7892788E+00
