#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   9.7416639E-06   2.7687648E+06   2.7687648E+06   3.6914635E+06   1.5190739E+04   2.4208073E+04   2.7691557E+06   2.7687648E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.0468468E-05   2.7687644E+06   2.7687644E+06   3.6914284E+06   1.5190650E+04   2.4207829E+04   2.7691553E+06   2.7687644E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1249498E-05   2.7687639E+06   2.7687639E+06   3.6913879E+06   1.5190547E+04   2.4207547E+04   2.7691547E+06   2.7687639E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.2088799E-05   2.7687634E+06   2.7687634E+06   3.6913411E+06   1.5190427E+04   2.4207221E+04   2.7691541E+06   2.7687634E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.2990718E-05   2.7687627E+06   2.7687627E+06   3.6912871E+06   1.5190290E+04   2.4206844E+04   2.7691534E+06   2.7687627E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3959927E-05   2.7687619E+06   2.7687619E+06   3.6912247E+06   1.5190131E+04   2.4206410E+04   2.7691525E+06   2.7687619E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.5001447E-05   2.7687611E+06   2.7687611E+06   3.6911527E+06   1.5189947E+04   2.4205908E+04   2.7691515E+06   2.7687611E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6120672E-05   2.7687601E+06   2.7687601E+06   3.6910695E+06   1.5189736E+04   2.4205329E+04   2.7691504E+06   2.7687601E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.7323400E-05   2.7687589E+06   2.7687589E+06   3.6909734E+06   1.5189491E+04   2.4204660E+04   2.7691491E+06   2.7687589E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8615862E-05   2.7687576E+06   2.7687576E+06   3.6908625E+06   1.5189208E+04   2.4203888E+04   2.7691476E+06   2.7687576E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
