#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   1.0951386E-05   1.0285982E+06   1.0285982E+06   1.3714268E+06   8.9973677E+03   1.4799233E+03   1.0289606E+06   1.0285982E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1768445E-05   1.0285981E+06   1.0285981E+06   1.3714208E+06   8.9973422E+03   1.4799071E+03   1.0289605E+06   1.0285981E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.2646463E-05   1.0285980E+06   1.0285980E+06   1.3714139E+06   8.9973128E+03   1.4798884E+03   1.0289603E+06   1.0285980E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3589989E-05   1.0285979E+06   1.0285979E+06   1.3714060E+06   8.9972789E+03   1.4798668E+03   1.0289602E+06   1.0285979E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4603908E-05   1.0285977E+06   1.0285977E+06   1.3713969E+06   8.9972397E+03   1.4798418E+03   1.0289600E+06   1.0285977E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.5693474E-05   1.0285975E+06   1.0285975E+06   1.3713863E+06   8.9971945E+03   1.4798130E+03   1.0289598E+06   1.0285975E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6864330E-05   1.0285973E+06   1.0285973E+06   1.3713741E+06   8.9971422E+03   1.4797797E+03   1.0289596E+06   1.0285973E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8122541E-05   1.0285971E+06   1.0285971E+06   1.3713600E+06   8.9970819E+03   1.4797413E+03   1.0289593E+06   1.0285971E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.9474625E-05   1.0285968E+06   1.0285968E+06   1.3713437E+06   8.9970122E+03   1.4796970E+03   1.0289590E+06   1.0285968E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.0927584E-05   1.0285965E+06   1.0285965E+06   1.3713249E+06   8.9969317E+03   1.4796457E+03   1.0289586E+06   1.0285965E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.2488946E-05   1.0285962E+06   1.0285962E+06   1.3713032E+06   8.9968388E+03   1.4795866E+03   1.0289582E+06   1.0285962E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.4166797E-05   1.0285957E+06   1.0285957E+06   1.3712782E+06   8.9967315E+03   1.4795183E+03   1.0289578E+06   1.0285957E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.5969829E-05   1.0285953E+06   1.0285953E+06   1.3712492E+06   8.9966076E+03   1.4794394E+03   1.0289572E+06   1.0285953E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.7907382E-05   1.0285947E+06   1.0285947E+06   1.3712158E+06   8.9964645E+03   1.4793483E+03   1.0289566E+06   1.0285947E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.9989491E-05   1.0285940E+06   1.0285940E+06   1.3711772E+06   8.9962993E+03   1.4792431E+03   1.0289559E+06   1.0285940E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.2226942E-05   1.0285933E+06   1.0285933E+06   1.3711327E+06   8.9961085E+03   1.4791217E+03   1.0289550E+06   1.0285933E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.4631324E-05   1.0285924E+06   1.0285924E+06   1.3710812E+06   8.9958882E+03   1.4789814E+03   1.0289540E+06   1.0285924E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.7215092E-05   1.0285914E+06   1.0285914E+06   1.3710218E+06   8.9956338E+03   1.4788195E+03   1.0289529E+06   1.0285914E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.9991629E-05   1.0285903E+06   1.0285903E+06   1.3709532E+06   8.9953400E+03   1.4786325E+03   1.0289516E+06   1.0285903E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.2975317E-05   1.0285890E+06   1.0285890E+06   1.3708739E+06   8.9950007E+03   1.4784166E+03   1.0289501E+06   1.0285890E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.6181613E-05   1.0285874E+06   1.0285874E+06   1.3707824E+06   8.9946090E+03   1.4781673E+03   1.0289484E+06   1.0285874E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.9627122E-05   1.0285857E+06   1.0285857E+06   1.3706768E+06   8.9941567E+03   1.4778795E+03   1.0289464E+06   1.0285857E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.3329694E-05   1.0285836E+06   1.0285836E+06   1.3705548E+06   8.9936343E+03   1.4775472E+03   1.0289441E+06   1.0285836E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.7308507E-05   1.0285813E+06   1.0285813E+06   1.3704140E+06   8.9930312E+03   1.4771634E+03   1.0289415E+06   1.0285813E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   6.1584170E-05   1.0285785E+06   1.0285785E+06   1.3702513E+06   8.9923347E+03   1.4767204E+03   1.0289384E+06   1.0285785E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   6.6178831E-05   1.0285754E+06   1.0285754E+06   1.3700635E+06   8.9915306E+03   1.4762090E+03   1.0289348E+06   1.0285754E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   7.1116290E-05   1.0285717E+06   1.0285717E+06   1.3698467E+06   8.9906020E+03   1.4756185E+03   1.0289308E+06   1.0285717E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   7.6422122E-05   1.0285676E+06   1.0285676E+06   1.3695963E+06   8.9895299E+03   1.4749369E+03   1.0289260E+06   1.0285676E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   8.2123811E-05   1.0285627E+06   1.0285627E+06   1.3693073E+06   8.9882919E+03   1.4741500E+03   1.0289206E+06   1.0285627E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   8.8250890E-05   1.0285571E+06   1.0285571E+06   1.3689736E+06   8.9868626E+03   1.4732417E+03   1.0289143E+06   1.0285571E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   9.4835097E-05   1.0285506E+06   1.0285506E+06   1.3685883E+06   8.9852124E+03   1.4721934E+03   1.0289070E+06   1.0285506E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.0191054E-04   1.0285432E+06   1.0285432E+06   1.3681435E+06   8.9833071E+03   1.4709835E+03   1.0288986E+06   1.0285432E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.0951386E-04   1.0285346E+06   1.0285346E+06   1.3676300E+06   8.9811074E+03   1.4695872E+03   1.0288889E+06   1.0285346E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1768445E-04   1.0285246E+06   1.0285246E+06   1.3670373E+06   8.9785679E+03   1.4679760E+03   1.0288777E+06   1.0285246E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.2646463E-04   1.0285131E+06   1.0285131E+06   1.3663531E+06   8.9756363E+03   1.4661170E+03   1.0288648E+06   1.0285131E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3589989E-04   1.0284999E+06   1.0284999E+06   1.3655634E+06   8.9722521E+03   1.4639725E+03   1.0288499E+06   1.0284999E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4603908E-04   1.0284846E+06   1.0284846E+06   1.3646520E+06   8.9683458E+03   1.4614988E+03   1.0288326E+06   1.0284846E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.5693474E-04   1.0284669E+06   1.0284669E+06   1.3636003E+06   8.9638371E+03   1.4586461E+03   1.0288127E+06   1.0284669E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6864330E-04   1.0284465E+06   1.0284465E+06   1.3623866E+06   8.9586334E+03   1.4553570E+03   1.0287898E+06   1.0284465E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8122541E-04   1.0284229E+06   1.0284229E+06   1.3609864E+06   8.9526282E+03   1.4515656E+03   1.0287632E+06   1.0284229E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.9474625E-04   1.0283957E+06   1.0283957E+06   1.3593710E+06   8.9456986E+03   1.4471963E+03   1.0287326E+06   1.0283957E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.0927584E-04   1.0283643E+06   1.0283643E+06   1.3575078E+06   8.9377034E+03   1.4421627E+03   1.0286973E+06   1.0283643E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.2488946E-04   1.0283281E+06   1.0283281E+06   1.3553592E+06   8.9284798E+03   1.4363661E+03   1.0286565E+06   1.0283281E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.4166797E-04   1.0282862E+06   1.0282862E+06   1.3528818E+06   8.9178409E+03   1.4296935E+03   1.0286095E+06   1.0282862E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.5969829E-04   1.0282379E+06   1.0282379E+06   1.3500262E+06   8.9055715E+03   1.4220165E+03   1.0285551E+06   1.0282379E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.7907382E-04   1.0281822E+06   1.0281822E+06   1.3467354E+06   8.8914249E+03   1.4131889E+03   1.0284925E+06   1.0281822E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.9989491E-04   1.0281179E+06   1.0281179E+06   1.3429445E+06   8.8751175E+03   1.4030451E+03   1.0284202E+06   1.0281179E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.2226942E-04   1.0280437E+06   1.0280437E+06   1.3385789E+06   8.8563247E+03   1.3913977E+03   1.0283367E+06   1.0280437E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.4631324E-04   1.0279581E+06   1.0279581E+06   1.3335539E+06   8.8346742E+03   1.3780359E+03   1.0282405E+06   1.0279581E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
