#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   1.1162799E-05   3.8126823E+06   3.8126823E+06   5.0831419E+06   1.2195945E+04   9.1250668E+04   3.8129105E+06   3.8126823E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1995631E-05   3.8126818E+06   3.8126818E+06   5.0830739E+06   1.2195845E+04   9.1249884E+04   3.8129099E+06   3.8126818E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.2890599E-05   3.8126811E+06   3.8126811E+06   5.0829954E+06   1.2195729E+04   9.1248979E+04   3.8129092E+06   3.8126811E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3852339E-05   3.8126803E+06   3.8126803E+06   5.0829047E+06   1.2195595E+04   9.1247934E+04   3.8129083E+06   3.8126803E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4885832E-05   3.8126795E+06   3.8126795E+06   5.0828000E+06   1.2195440E+04   9.1246726E+04   3.8129074E+06   3.8126795E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.5996431E-05   3.8126785E+06   3.8126785E+06   5.0826791E+06   1.2195262E+04   9.1245332E+04   3.8129063E+06   3.8126785E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.7189890E-05   3.8126773E+06   3.8126773E+06   5.0825394E+06   1.2195055E+04   9.1243723E+04   3.8129050E+06   3.8126773E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8472391E-05   3.8126759E+06   3.8126759E+06   5.0823782E+06   1.2194817E+04   9.1241864E+04   3.8129035E+06   3.8126759E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.9850576E-05   3.8126744E+06   3.8126744E+06   5.0821920E+06   1.2194542E+04   9.1239717E+04   3.8129018E+06   3.8126744E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.1331584E-05   3.8126726E+06   3.8126726E+06   5.0819770E+06   1.2194225E+04   9.1237239E+04   3.8128998E+06   3.8126726E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.2923087E-05   3.8126705E+06   3.8126705E+06   5.0817287E+06   1.2193858E+04   9.1234377E+04   3.8128976E+06   3.8126705E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
