#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   1.0891556E-05   1.8498634E+07   1.8498634E+07   2.4652964E+07   1.1652140E+04   2.4152822E+07   1.8498644E+07   1.8498634E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1704151E-05   1.8498630E+07   1.8498630E+07   2.4651121E+07   1.1651578E+04   2.4152317E+07   1.8498640E+07   1.8498630E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.2577372E-05   1.8498626E+07   1.8498626E+07   2.4648992E+07   1.1650929E+04   2.4151735E+07   1.8498635E+07   1.8498626E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3515743E-05   1.8498621E+07   1.8498621E+07   2.4646534E+07   1.1650180E+04   2.4151063E+07   1.8498630E+07   1.8498621E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4524123E-05   1.8498615E+07   1.8498615E+07   2.4643696E+07   1.1649314E+04   2.4150286E+07   1.8498624E+07   1.8498615E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.5607736E-05   1.8498609E+07   1.8498609E+07   2.4640419E+07   1.1648315E+04   2.4149390E+07   1.8498617E+07   1.8498609E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6772196E-05   1.8498601E+07   1.8498601E+07   2.4636635E+07   1.1647161E+04   2.4148355E+07   1.8498609E+07   1.8498601E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8023533E-05   1.8498592E+07   1.8498592E+07   2.4632266E+07   1.1645828E+04   2.4147160E+07   1.8498600E+07   1.8498592E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.9368229E-05   1.8498582E+07   1.8498582E+07   2.4627222E+07   1.1644290E+04   2.4145780E+07   1.8498590E+07   1.8498582E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.0813251E-05   1.8498570E+07   1.8498570E+07   2.4621399E+07   1.1642513E+04   2.4144188E+07   1.8498577E+07   1.8498570E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
