#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   1.0746675E-05   1.2130936E+07   1.2130936E+07   1.6168664E+07   7.4246928E+03   7.6304286E+06   1.2130958E+07   1.2130936E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1548461E-05   1.2130934E+07   1.2130934E+07   1.6167746E+07   7.4244216E+03   7.6303258E+06   1.2130955E+07   1.2130934E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.2410067E-05   1.2130932E+07   1.2130932E+07   1.6166685E+07   7.4241084E+03   7.6302070E+06   1.2130953E+07   1.2130932E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3335955E-05   1.2130929E+07   1.2130929E+07   1.6165461E+07   7.4237468E+03   7.6300698E+06   1.2130950E+07   1.2130929E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4330921E-05   1.2130926E+07   1.2130926E+07   1.6164047E+07   7.4233292E+03   7.6299115E+06   1.2130947E+07   1.2130926E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.5400120E-05   1.2130923E+07   1.2130923E+07   1.6162414E+07   7.4228470E+03   7.6297286E+06   1.2130943E+07   1.2130923E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6549090E-05   1.2130918E+07   1.2130918E+07   1.6160529E+07   7.4222902E+03   7.6295175E+06   1.2130939E+07   1.2130918E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.7783781E-05   1.2130914E+07   1.2130914E+07   1.6158352E+07   7.4216473E+03   7.6292738E+06   1.2130934E+07   1.2130914E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.9110591E-05   1.2130908E+07   1.2130908E+07   1.6155839E+07   7.4209050E+03   7.6289924E+06   1.2130928E+07   1.2130908E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.0536390E-05   1.2130902E+07   1.2130902E+07   1.6152937E+07   7.4200478E+03   7.6286675E+06   1.2130922E+07   1.2130902E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.2068566E-05   1.2130894E+07   1.2130894E+07   1.6149587E+07   7.4190582E+03   7.6282925E+06   1.2130914E+07   1.2130894E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.3715054E-05   1.2130886E+07   1.2130886E+07   1.6145718E+07   7.4179155E+03   7.6278595E+06   1.2130905E+07   1.2130886E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.5484382E-05   1.2130876E+07   1.2130876E+07   1.6141253E+07   7.4165963E+03   7.6273598E+06   1.2130895E+07   1.2130876E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.7385717E-05   1.2130865E+07   1.2130865E+07   1.6136097E+07   7.4150731E+03   7.6267829E+06   1.2130883E+07   1.2130865E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.9428906E-05   1.2130852E+07   1.2130852E+07   1.6130145E+07   7.4133147E+03   7.6261170E+06   1.2130869E+07   1.2130852E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.1624532E-05   1.2130837E+07   1.2130837E+07   1.6123275E+07   7.4112846E+03   7.6253486E+06   1.2130854E+07   1.2130837E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
