#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   1.0469672E-05   1.1206544E+07   1.1206544E+07   1.4938574E+07   1.4519866E+04   2.4139109E+06   1.1206645E+07   1.1206544E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1250792E-05   1.1206542E+07   1.1206542E+07   1.4938032E+07   1.4519533E+04   2.4138876E+06   1.1206642E+07   1.1206542E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.2090189E-05   1.1206539E+07   1.1206539E+07   1.4937405E+07   1.4519149E+04   2.4138607E+06   1.1206639E+07   1.1206539E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.2992212E-05   1.1206536E+07   1.1206536E+07   1.4936682E+07   1.4518705E+04   2.4138296E+06   1.1206636E+07   1.1206536E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3961532E-05   1.1206532E+07   1.1206532E+07   1.4935847E+07   1.4518193E+04   2.4137937E+06   1.1206632E+07   1.1206532E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.5003172E-05   1.1206528E+07   1.1206528E+07   1.4934883E+07   1.4517601E+04   2.4137523E+06   1.1206628E+07   1.1206528E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6122526E-05   1.1206524E+07   1.1206524E+07   1.4933769E+07   1.4516918E+04   2.4137044E+06   1.1206623E+07   1.1206524E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.7325393E-05   1.1206518E+07   1.1206518E+07   1.4932483E+07   1.4516129E+04   2.4136492E+06   1.1206617E+07   1.1206518E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8618003E-05   1.1206512E+07   1.1206512E+07   1.4930998E+07   1.4515219E+04   2.4135854E+06   1.1206610E+07   1.1206512E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.0007052E-05   1.1206504E+07   1.1206504E+07   1.4929284E+07   1.4514167E+04   2.4135118E+06   1.1206602E+07   1.1206504E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.1499734E-05   1.1206496E+07   1.1206496E+07   1.4927305E+07   1.4512953E+04   2.4134267E+06   1.1206593E+07   1.1206496E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.3103783E-05   1.1206486E+07   1.1206486E+07   1.4925019E+07   1.4511550E+04   2.4133286E+06   1.1206583E+07   1.1206486E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.4827506E-05   1.1206475E+07   1.1206475E+07   1.4922380E+07   1.4509931E+04   2.4132152E+06   1.1206571E+07   1.1206475E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
