#        a       HoverH0(a)       dlogHdloga_of_a(a)
   1.0000000E-04   1.1248803E+06   -1.8463758E+00
   1.0046181E-04   1.1153526E+06   -1.8458850E+00
   1.0092575E-04   1.1059082E+06   -1.8453933E+00
   1.0139184E-04   1.0965462E+06   -1.8449008E+00
   1.0186008E-04   1.0872659E+06   -1.8444074E+00
   1.0233048E-04   1.0780667E+06   -1.8439132E+00
   1.0280305E-04   1.0689477E+06   -1.8434181E+00
   1.0327781E-04   1.0599082E+06   -1.8429221E+00
   1.0375475E-04   1.0509476E+06   -1.8424253E+00
   1.0423390E-04   1.0420651E+06   -1.8419277E+00
   1.0471527E-04   1.0332601E+06   -1.8414292E+00
   1.0519885E-04   1.0245319E+06   -1.8409298E+00
   1.0568467E-04   1.0158797E+06   -1.8404297E+00
   1.0617274E-04   1.0073029E+06   -1.8399287E+00
   1.0666305E-04   9.9880077E+05   -1.8394268E+00
   1.0715563E-04   9.9037274E+05   -1.8389242E+00
   1.0765049E-04   9.8201810E+05   -1.8384207E+00
   1.0814763E-04   9.7373620E+05   -1.8379163E+00
   1.0864707E-04   9.6552640E+05   -1.8374112E+00
   1.0914881E-04   9.5738804E+05   -1.8369053E+00
   1.0965287E-04   9.4932049E+05   -1.8363985E+00
   1.1015926E-04   9.4132313E+05   -1.8358909E+00
   1.1066799E-04   9.3339532E+05   -1.8353826E+00
   1.1117906E-04   9.2553645E+05   -1.8348734E+00
   1.1169250E-04   9.1774590E+05   -1.8343634E+00
   1.1220831E-04   9.1002307E+05   -1.8338527E+00
   1.1272650E-04   9.0236735E+05   -1.8333411E+00
   1.1324708E-04   8.9477815E+05   -1.8328288E+00
   1.1377007E-04   8.8725487E+05   -1.8323157E+00
   1.1429547E-04   8.7979693E+05   -1.8318018E+00
   1.1482330E-04   8.7240374E+05   -1.8312871E+00
   1.1535356E-04   8.6507474E+05   -1.8307716E+00
   1.1588628E-04   8.5780934E+05   -1.8302554E+00
   1.1642145E-04   8.5060699E+05   -1.8297385E+00
   1.1695910E-04   8.4346712E+05   -1.8292207E+00
   1.1749923E-04   8.3638918E+05   -1.8287022E+00
   1.1804185E-04   8.2937261E+05   -1.8281830E+00
   1.1858698E-04   8.2241688E+05   -1.8276630E+00
   1.1913463E-04   8.1552143E+05   -1.8271422E+00
   1.1968481E-04   8.0868575E+05   -1.8266207E+00
   1.2023752E-04   8.0190928E+05   -1.8260985E+00
   1.2079279E-04   7.9519152E+05   -1.8255756E+00
   1.2135063E-04   7.8853194E+05   -1.8250519E+00
   1.2191104E-04   7.8193001E+05   -1.8245275E+00
   1.2247403E-04   7.7538524E+05   -1.8240024E+00
   1.2303963E-04   7.6889711E+05   -1.8234765E+00
   1.2360784E-04   7.6246511E+05   -1.8229499E+00
   1.2417868E-04   7.5608875E+05   -1.8224227E+00
   1.2475215E-04   7.4976755E+05   -1.8218947E+00
   1.2532826E-04   7.4350100E+05   -1.8213660E+00
   1.2590704E-04   7.3728862E+05   -1.8208367E+00
   1.2648850E-04   7.3112993E+05   -1.8203066E+00
   1.2707263E-04   7.2502446E+05   -1.8197759E+00
   1.2765947E-04   7.1897174E+05   -1.8192444E+00
   1.2824901E-04   7.1297129E+05   -1.8187123E+00
   1.2884128E-04   7.0702266E+05   -1.8181795E+00
   1.2943628E-04   7.0112538E+05   -1.8176461E+00
   1.3003403E-04   6.9527900E+05   -1.8171120E+00
   1.3063454E-04   6.8948307E+05   -1.8165772E+00
   1.3123783E-04   6.8373714E+05   -1.8160418E+00
   1.3184390E-04   6.7804076E+05   -1.8155057E+00
   1.3245277E-04   6.7239351E+05   -1.8149689E+00
   1.3306445E-04   6.6679494E+05   -1.8144316E+00
   1.3367895E-04   6.6124463E+05   -1.8138935E+00
   1.3429630E-04   6.5574214E+05   -1.8133549E+00
   1.3491649E-04   6.5028705E+05   -1.8128156E+00
   1.3553955E-04   6.4487895E+05   -1.8122757E+00
   1.3616548E-04   6.3951742E+05   -1.8117352E+00
   1.3679431E-04   6.3420205E+05   -1.8111940E+00
   1.3742604E-04   6.2893242E+05   -1.8106523E+00
   1.3806069E-04   6.2370813E+05   -1.8101099E+00
   1.3869827E-04   6.1852879E+05   -1.8095670E+00
   1.3933879E-04   6.1339400E+05   -1.8090234E+00
   1.3998227E-04   6.0830335E+05   -1.8084793E+00
   1.4062872E-04   6.0325646E+05   -1.8079345E+00
   1.4127816E-04   5.9825295E+05   -1.8073892E+00
   1.4193060E-04   5.9329244E+05   -1.8068433E+00
   1.4258605E-04   5.8837453E+05   -1.8062968E+00
   1.4324453E-04   5.8349886E+05   -1.8057498E+00
   1.4390605E-04   5.7866505E+05   -1.8052022E+00
   1.4457062E-04   5.7387273E+05   -1.8046541E+00
   1.4523826E-04   5.6912154E+05   -1.8041054E+00
   1.4590899E-04   5.6441112E+05   -1.8035561E+00
   1.4658281E-04   5.5974109E+05   -1.8030063E+00
   1.4725974E-04   5.5511112E+05   -1.8024560E+00
   1.4793981E-04   5.5052084E+05   -1.8019051E+00
   1.4862301E-04   5.4596990E+05   -1.8013537E+00
   1.4930936E-04   5.4145796E+05   -1.8008018E+00
   1.4999889E-04   5.3698467E+05   -1.8002494E+00
   1.5069160E-04   5.3254970E+05   -1.7996964E+00
   1.5138751E-04   5.2815270E+05   -1.7991430E+00
   1.5208663E-04   5.2379334E+05   -1.7985890E+00
   1.5278899E-04   5.1947129E+05   -1.7980346E+00
   1.5349458E-04   5.1518622E+05   -1.7974796E+00
   1.5420343E-04   5.1093780E+05   -1.7969242E+00
   1.5491556E-04   5.0672572E+05   -1.7963683E+00
   1.5563098E-04   5.0254964E+05   -1.7958119E+00
   1.5634970E-04   4.9840926E+05   -1.7952550E+00
   1.5707174E-04   4.9430426E+05   -1.7946977E+00
   1.5779711E-04   4.9023433E+05   -1.7941399E+00
   1.5852584E-04   4.8619916E+05   -1.7935817E+00
   1.5925792E-04   4.8219845E+05   -1.7930230E+00
   1.5999339E-04   4.7823188E+05   -1.7924639E+00
   1.6073226E-04   4.7429917E+05   -1.7919043E+00
   1.6147454E-04   4.7040001E+05   -1.7913443E+00
   1.6222024E-04   4.6653411E+05   -1.7907839E+00
   1.6296939E-04   4.6270118E+05   -1.7902231E+00
   1.6372200E-04   4.5890092E+05   -1.7896618E+00
   1.6447809E-04   4.5513305E+05   -1.7891001E+00
   1.6523767E-04   4.5139729E+05   -1.7885381E+00
   1.6600075E-04   4.4769335E+05   -1.7879756E+00
   1.6676736E-04   4.4402096E+05   -1.7874127E+00
   1.6753751E-04   4.4037983E+05   -1.7868495E+00
   1.6831122E-04   4.3676970E+05   -1.7862858E+00
   1.6908849E-04   4.3319028E+05   -1.7857218E+00
   1.6986936E-04   4.2964131E+05   -1.7851574E+00
   1.7065384E-04   4.2612253E+05   -1.7845927E+00
   1.7144193E-04   4.2263367E+05   -1.7840275E+00
   1.7223367E-04   4.1917447E+05   -1.7834621E+00
   1.7302906E-04   4.1574466E+05   -1.7828962E+00
   1.7382813E-04   4.1234399E+05   -1.7823301E+00
   1.7463089E-04   4.0897220E+05   -1.7817636E+00
   1.7543735E-04   4.0562905E+05   -1.7811967E+00
   1.7624754E-04   4.0231427E+05   -1.7806296E+00
   1.7706147E-04   3.9902763E+05   -1.7800621E+00
   1.7787916E-04   3.9576887E+05   -1.7794943E+00
   1.7870062E-04   3.9253775E+05   -1.7789262E+00
   1.7952588E-04   3.8933403E+05   -1.7783578E+00
   1.8035495E-04   3.8615747E+05   -1.7777891E+00
   1.8118785E-04   3.8300783E+05   -1.7772201E+00
   1.8202459E-04   3.7988488E+05   -1.7766508E+00
   1.8286520E-04   3.7678837E+05   -1.7760813E+00
   1.8370969E-04   3.7371809E+05   -1.7755114E+00
   1.8455808E-04   3.7067381E+05   -1.7749413E+00
   1.8541039E-04   3.6765528E+05   -1.7743710E+00
   1.8626663E-04   3.6466230E+05   -1.7738003E+00
   1.8712683E-04   3.6169463E+05   -1.7732295E+00
   1.8799100E-04   3.5875206E+05   -1.7726583E+00
   1.8885917E-04   3.5583436E+05   -1.7720870E+00
   1.8973134E-04   3.5294132E+05   -1.7715154E+00
   1.9060754E-04   3.5007272E+05   -1.7709436E+00
   1.9148778E-04   3.4722836E+05   -1.7703715E+00
   1.9237209E-04   3.4440801E+05   -1.7697993E+00
   1.9326049E-04   3.4161147E+05   -1.7692268E+00
   1.9415299E-04   3.3883854E+05   -1.7686542E+00
   1.9504960E-04   3.3608899E+05   -1.7680813E+00
   1.9595036E-04   3.3336265E+05   -1.7675083E+00
   1.9685528E-04   3.3065929E+05   -1.7669350E+00
   1.9776438E-04   3.2797871E+05   -1.7663616E+00
   1.9867768E-04   3.2532073E+05   -1.7657880E+00
   1.9959519E-04   3.2268515E+05   -1.7652143E+00
   2.0051694E-04   3.2007176E+05   -1.7646403E+00
   2.0144295E-04   3.1748037E+05   -1.7640663E+00
   2.0237324E-04   3.1491080E+05   -1.7634920E+00
   2.0330782E-04   3.1236286E+05   -1.7629177E+00
   2.0424671E-04   3.0983635E+05   -1.7623432E+00
   2.0518995E-04   3.0733108E+05   -1.7617685E+00
   2.0613754E-04   3.0484688E+05   -1.7611938E+00
   2.0708950E-04   3.0238357E+05   -1.7606189E+00
   2.0804586E-04   2.9994095E+05   -1.7600439E+00
   2.0900664E-04   2.9751885E+05   -1.7594688E+00
   2.0997185E-04   2.9511710E+05   -1.7588936E+00
   2.1094152E-04   2.9273550E+05   -1.7583183E+00
   2.1191567E-04   2.9037390E+05   -1.7577429E+00
   2.1289432E-04   2.8803211E+05   -1.7571675E+00
   2.1387749E-04   2.8570997E+05   -1.7565919E+00
   2.1486520E-04   2.8340730E+05   -1.7560163E+00
   2.1585747E-04   2.8112393E+05   -1.7554406E+00
   2.1685432E-04   2.7885970E+05   -1.7548649E+00
   2.1785578E-04   2.7661444E+05   -1.7542891E+00
   2.1886186E-04   2.7438798E+05   -1.7537133E+00
   2.1987259E-04   2.7218017E+05   -1.7531374E+00
   2.2088798E-04   2.6999084E+05   -1.7525615E+00
   2.2190807E-04   2.6781983E+05   -1.7519856E+00
   2.2293286E-04   2.6566698E+05   -1.7514096E+00
   2.2396239E-04   2.6353214E+05   -1.7508337E+00
   2.2499667E-04   2.6141514E+05   -1.7502577E+00
   2.2603573E-04   2.5931584E+05   -1.7496817E+00
   2.2707958E-04   2.5723408E+05   -1.7491057E+00
   2.2812826E-04   2.5516971E+05   -1.7485298E+00
   2.2918178E-04   2.5312258E+05   -1.7479538E+00
   2.3024017E-04   2.5109254E+05   -1.7473779E+00
   2.3130344E-04   2.4907944E+05   -1.7468020E+00
   2.3237162E-04   2.4708314E+05   -1.7462261E+00
   2.3344474E-04   2.4510348E+05   -1.7456503E+00
   2.3452281E-04   2.4314034E+05   -1.7450745E+00
   2.3560586E-04   2.4119355E+05   -1.7444988E+00
   2.3669392E-04   2.3926299E+05   -1.7439231E+00
   2.3778699E-04   2.3734851E+05   -1.7433475E+00
   2.3888512E-04   2.3544998E+05   -1.7427720E+00
   2.3998831E-04   2.3356725E+05   -1.7421965E+00
   2.4109661E-04   2.3170019E+05   -1.7416211E+00
   2.4221001E-04   2.2984866E+05   -1.7410458E+00
   2.4332857E-04   2.2801253E+05   -1.7404706E+00
   2.4445228E-04   2.2619167E+05   -1.7398955E+00
   2.4558119E-04   2.2438594E+05   -1.7393205E+00
   2.4671531E-04   2.2259522E+05   -1.7387457E+00
   2.4785467E-04   2.2081938E+05   -1.7381709E+00
   2.4899928E-04   2.1905828E+05   -1.7375963E+00
   2.5014919E-04   2.1731181E+05   -1.7370218E+00
   2.5130440E-04   2.1557983E+05   -1.7364474E+00
   2.5246495E-04   2.1386222E+05   -1.7358732E+00
   2.5363086E-04   2.1215885E+05   -1.7352991E+00
   2.5480216E-04   2.1046961E+05   -1.7347252E+00
   2.5597886E-04   2.0879437E+05   -1.7341514E+00
   2.5716100E-04   2.0713301E+05   -1.7335778E+00
   2.5834859E-04   2.0548541E+05   -1.7330044E+00
   2.5954168E-04   2.0385146E+05   -1.7324312E+00
   2.6074027E-04   2.0223104E+05   -1.7318581E+00
   2.6194439E-04   2.0062402E+05   -1.7312853E+00
   2.6315408E-04   1.9903030E+05   -1.7307126E+00
   2.6436935E-04   1.9744976E+05   -1.7301401E+00
   2.6559024E-04   1.9588229E+05   -1.7295679E+00
   2.6681676E-04   1.9432778E+05   -1.7289958E+00
   2.6804895E-04   1.9278611E+05   -1.7284240E+00
   2.6928683E-04   1.9125717E+05   -1.7278524E+00
   2.7053042E-04   1.8974086E+05   -1.7272811E+00
   2.7177976E-04   1.8823707E+05   -1.7267100E+00
   2.7303487E-04   1.8674569E+05   -1.7261391E+00
