#        a       HoverH0(a)       dlogHdloga_of_a(a)
   1.0000000E-04   1.1175206E+06   -1.8730061E+00
   1.0046181E-04   1.1079365E+06   -1.8725687E+00
   1.0092575E-04   1.0984029E+06   -1.8721301E+00
   1.0139184E-04   1.0889742E+06   -1.8716907E+00
   1.0186008E-04   1.0796395E+06   -1.8712503E+00
   1.0233048E-04   1.0703542E+06   -1.8708088E+00
   1.0280305E-04   1.0611763E+06   -1.8703664E+00
   1.0327781E-04   1.0520844E+06   -1.8699231E+00
   1.0375475E-04   1.0430406E+06   -1.8694786E+00
   1.0423390E-04   1.0341068E+06   -1.8690333E+00
   1.0471527E-04   1.0252514E+06   -1.8685871E+00
   1.0519885E-04   1.0164428E+06   -1.8681396E+00
   1.0568467E-04   1.0077464E+06   -1.8676914E+00
   1.0617274E-04   9.9912111E+05   -1.8672423E+00
   1.0666305E-04   9.9054143E+05   -1.8667918E+00
   1.0715563E-04   9.8207608E+05   -1.8663408E+00
   1.0765049E-04   9.7367486E+05   -1.8658887E+00
   1.0814763E-04   9.6531807E+05   -1.8654354E+00
   1.0864707E-04   9.5707749E+05   -1.8649815E+00
   1.0914881E-04   9.4889441E+05   -1.8645265E+00
   1.0965287E-04   9.4075461E+05   -1.8640702E+00
   1.1015926E-04   9.3273273E+05   -1.8636135E+00
   1.1066799E-04   9.2476200E+05   -1.8631556E+00
   1.1117906E-04   9.1683346E+05   -1.8626964E+00
   1.1169250E-04   9.0902435E+05   -1.8622369E+00
   1.1220831E-04   9.0126038E+05   -1.8617761E+00
   1.1272650E-04   8.9353772E+05   -1.8613141E+00
   1.1324708E-04   8.8593542E+05   -1.8608517E+00
   1.1377007E-04   8.7837273E+05   -1.8603881E+00
   1.1429547E-04   8.7085476E+05   -1.8599232E+00
   1.1482330E-04   8.6344943E+05   -1.8594580E+00
   1.1535356E-04   8.5608270E+05   -1.8589916E+00
   1.1588628E-04   8.4876388E+05   -1.8585240E+00
   1.1642145E-04   8.4155033E+05   -1.8580559E+00
   1.1695910E-04   8.3437438E+05   -1.8575866E+00
   1.1749923E-04   8.2724935E+05   -1.8571163E+00
   1.1804185E-04   8.2022250E+05   -1.8566454E+00
   1.1858698E-04   8.1323230E+05   -1.8561733E+00
   1.1913463E-04   8.0629581E+05   -1.8557002E+00
   1.1968481E-04   7.9945075E+05   -1.8552266E+00
   1.2023752E-04   7.9264139E+05   -1.8547517E+00
   1.2079279E-04   7.8588835E+05   -1.8542759E+00
   1.2135063E-04   7.7922027E+05   -1.8537995E+00
   1.2191104E-04   7.7258698E+05   -1.8533218E+00
