#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   9.6149451E-06   2.6502161E+07   2.6502161E+07   3.5318297E+07   2.8128010E+04   4.0815033E+07   2.6502176E+07   2.6502161E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.0332295E-05   2.6502153E+07   2.6502153E+07   3.5315514E+07   2.8126593E+04   4.0813822E+07   2.6502168E+07   2.6502153E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1103165E-05   2.6502143E+07   2.6502143E+07   3.5312301E+07   2.8124958E+04   4.0812423E+07   2.6502158E+07   2.6502143E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1931548E-05   2.6502133E+07   2.6502133E+07   3.5308590E+07   2.8123070E+04   4.0810809E+07   2.6502147E+07   2.6502133E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.2821735E-05   2.6502120E+07   2.6502120E+07   3.5304305E+07   2.8120890E+04   4.0808944E+07   2.6502134E+07   2.6502120E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3778337E-05   2.6502106E+07   2.6502106E+07   3.5299358E+07   2.8118373E+04   4.0806792E+07   2.6502119E+07   2.6502106E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4806309E-05   2.6502090E+07   2.6502090E+07   3.5293646E+07   2.8115466E+04   4.0804307E+07   2.6502102E+07   2.6502090E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.5910976E-05   2.6502071E+07   2.6502071E+07   3.5287050E+07   2.8112110E+04   4.0801437E+07   2.6502082E+07   2.6502071E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.7098059E-05   2.6502049E+07   2.6502049E+07   3.5279435E+07   2.8108234E+04   4.0798125E+07   2.6502059E+07   2.6502049E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8373708E-05   2.6502023E+07   2.6502023E+07   3.5270644E+07   2.8103760E+04   4.0794301E+07   2.6502033E+07   2.6502023E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.9744530E-05   2.6501994E+07   2.6501994E+07   3.5260494E+07   2.8098594E+04   4.0789886E+07   2.6502002E+07   2.6501994E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.1217627E-05   2.6501960E+07   2.6501960E+07   3.5248777E+07   2.8092630E+04   4.0784791E+07   2.6501967E+07   2.6501960E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.2800628E-05   2.6501921E+07   2.6501921E+07   3.5235250E+07   2.8085745E+04   4.0778909E+07   2.6501926E+07   2.6501921E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.4501733E-05   2.6501876E+07   2.6501876E+07   3.5219636E+07   2.8077796E+04   4.0772121E+07   2.6501879E+07   2.6501876E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.6329754E-05   2.6501824E+07   2.6501824E+07   3.5201612E+07   2.8068620E+04   4.0764287E+07   2.6501825E+07   2.6501824E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.8294160E-05   2.6501764E+07   2.6501764E+07   3.5180810E+07   2.8058028E+04   4.0755246E+07   2.6501762E+07   2.6501764E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.0405126E-05   2.6501695E+07   2.6501695E+07   3.5156801E+07   2.8045801E+04   4.0744816E+07   2.6501690E+07   2.6501695E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.2673586E-05   2.6501615E+07   2.6501615E+07   3.5129096E+07   2.8031690E+04   4.0732782E+07   2.6501607E+07   2.6501615E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.5111292E-05   2.6501522E+07   2.6501522E+07   3.5097127E+07   2.8015404E+04   4.0718901E+07   2.6501510E+07   2.6501522E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.7730869E-05   2.6501415E+07   2.6501415E+07   3.5060243E+07   2.7996611E+04   4.0702892E+07   2.6501399E+07   2.6501415E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.0545887E-05   2.6501292E+07   2.6501292E+07   3.5017694E+07   2.7974926E+04   4.0684433E+07   2.6501270E+07   2.6501292E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.3570928E-05   2.6501150E+07   2.6501150E+07   3.4968618E+07   2.7949907E+04   4.0663153E+07   2.6501122E+07   2.6501150E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.6821660E-05   2.6500986E+07   2.6500986E+07   3.4912025E+07   2.7921047E+04   4.0638628E+07   2.6500950E+07   2.6500986E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.0314922E-05   2.6500796E+07   2.6500796E+07   3.4846776E+07   2.7887762E+04   4.0610371E+07   2.6500753E+07   2.6500796E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.4068810E-05   2.6500577E+07   2.6500577E+07   3.4771568E+07   2.7849379E+04   4.0577827E+07   2.6500524E+07   2.6500577E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.8102766E-05   2.6500324E+07   2.6500324E+07   3.4684904E+07   2.7805127E+04   4.0540359E+07   2.6500261E+07   2.6500324E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   6.2437687E-05   2.6500033E+07   2.6500033E+07   3.4585073E+07   2.7754124E+04   4.0497245E+07   2.6499956E+07   2.6500033E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   6.7096027E-05   2.6499696E+07   2.6499696E+07   3.4470118E+07   2.7695355E+04   4.0447659E+07   2.6499605E+07   2.6499696E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   7.2101916E-05   2.6499307E+07   2.6499307E+07   3.4337806E+07   2.7627661E+04   4.0390667E+07   2.6499200E+07   2.6499307E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   7.7481284E-05   2.6498859E+07   2.6498859E+07   3.4185596E+07   2.7549718E+04   4.0325211E+07   2.6498732E+07   2.6498859E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   8.3261994E-05   2.6498342E+07   2.6498342E+07   3.4010596E+07   2.7460014E+04   4.0250096E+07   2.6498193E+07   2.6498342E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   8.9473991E-05   2.6497745E+07   2.6497745E+07   3.3809534E+07   2.7356830E+04   4.0163983E+07   2.6497571E+07   2.6497745E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   9.6149451E-05   2.6497057E+07   2.6497057E+07   3.3578711E+07   2.7238211E+04   4.0065374E+07   2.6496853E+07   2.6497057E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
