#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   9.8326553E-06   5.3344354E+06   5.3344354E+06   7.1116415E+06   1.1068015E+04   3.0230800E+05   5.3345843E+06   5.3344354E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.0566248E-05   5.3344345E+06   5.3344345E+06   7.1114950E+06   1.1067875E+04   3.0230529E+05   5.3345833E+06   5.3344345E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1354573E-05   5.3344334E+06   5.3344334E+06   7.1113258E+06   1.1067712E+04   3.0230216E+05   5.3345822E+06   5.3344334E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.2201713E-05   5.3344323E+06   5.3344323E+06   7.1111305E+06   1.1067524E+04   3.0229855E+05   5.3345809E+06   5.3344323E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3112057E-05   5.3344309E+06   5.3344309E+06   7.1109049E+06   1.1067307E+04   3.0229437E+05   5.3345794E+06   5.3344309E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4090319E-05   5.3344293E+06   5.3344293E+06   7.1106443E+06   1.1067057E+04   3.0228955E+05   5.3345777E+06   5.3344293E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.5141567E-05   5.3344275E+06   5.3344275E+06   7.1103435E+06   1.1066768E+04   3.0228399E+05   5.3345757E+06   5.3344275E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6271246E-05   5.3344254E+06   5.3344254E+06   7.1099962E+06   1.1066434E+04   3.0227756E+05   5.3345734E+06   5.3344254E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.7485208E-05   5.3344229E+06   5.3344229E+06   7.1095950E+06   1.1066048E+04   3.0227014E+05   5.3345708E+06   5.3344229E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8789742E-05   5.3344201E+06   5.3344201E+06   7.1091319E+06   1.1065603E+04   3.0226157E+05   5.3345677E+06   5.3344201E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.0191604E-05   5.3344169E+06   5.3344169E+06   7.1085970E+06   1.1065089E+04   3.0225168E+05   5.3345642E+06   5.3344169E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.1698055E-05   5.3344131E+06   5.3344131E+06   7.1079795E+06   1.1064496E+04   3.0224025E+05   5.3345601E+06   5.3344131E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.3316900E-05   5.3344088E+06   5.3344088E+06   7.1072664E+06   1.1063810E+04   3.0222706E+05   5.3345554E+06   5.3344088E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.5056524E-05   5.3344037E+06   5.3344037E+06   7.1064430E+06   1.1063019E+04   3.0221183E+05   5.3345500E+06   5.3344037E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.6925936E-05   5.3343980E+06   5.3343980E+06   7.1054923E+06   1.1062105E+04   3.0219425E+05   5.3345437E+06   5.3343980E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.8934822E-05   5.3343913E+06   5.3343913E+06   7.1043946E+06   1.1061049E+04   3.0217395E+05   5.3345365E+06   5.3343913E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.1093586E-05   5.3343836E+06   5.3343836E+06   7.1031272E+06   1.1059831E+04   3.0215052E+05   5.3345281E+06   5.3343836E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.3413411E-05   5.3343747E+06   5.3343747E+06   7.1016638E+06   1.1058424E+04   3.0212347E+05   5.3345185E+06   5.3343747E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.5906313E-05   5.3343644E+06   5.3343644E+06   7.0999744E+06   1.1056799E+04   3.0209224E+05   5.3345073E+06   5.3343644E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.8585205E-05   5.3343525E+06   5.3343525E+06   7.0980239E+06   1.1054924E+04   3.0205619E+05   5.3344944E+06   5.3343525E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.1463964E-05   5.3343388E+06   5.3343388E+06   7.0957721E+06   1.1052759E+04   3.0201458E+05   5.3344796E+06   5.3343388E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.4557500E-05   5.3343230E+06   5.3343230E+06   7.0931727E+06   1.1050259E+04   3.0196656E+05   5.3344624E+06   5.3343230E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.7881838E-05   5.3343047E+06   5.3343047E+06   7.0901720E+06   1.1047373E+04   3.0191114E+05   5.3344426E+06   5.3343047E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.1454198E-05   5.3342836E+06   5.3342836E+06   7.0867084E+06   1.1044041E+04   3.0184719E+05   5.3344197E+06   5.3342836E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.5293084E-05   5.3342592E+06   5.3342592E+06   7.0827107E+06   1.1040195E+04   3.0177341E+05   5.3343933E+06   5.3342592E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.9418381E-05   5.3342311E+06   5.3342311E+06   7.0780969E+06   1.1035756E+04   3.0168829E+05   5.3343628E+06   5.3342311E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   6.3851457E-05   5.3341986E+06   5.3341986E+06   7.0727725E+06   1.1030632E+04   3.0159010E+05   5.3343275E+06   5.3341986E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   6.8615276E-05   5.3341610E+06   5.3341610E+06   7.0666287E+06   1.1024718E+04   3.0147687E+05   5.3342869E+06   5.3341610E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   7.3734513E-05   5.3341177E+06   5.3341177E+06   7.0595403E+06   1.1017894E+04   3.0134631E+05   5.3342399E+06   5.3341177E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   7.9235685E-05   5.3340677E+06   5.3340677E+06   7.0513631E+06   1.1010019E+04   3.0119580E+05   5.3341857E+06   5.3340677E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   8.5147287E-05   5.3340100E+06   5.3340100E+06   7.0419314E+06   1.1000933E+04   3.0102235E+05   5.3341231E+06   5.3340100E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   9.1499941E-05   5.3339433E+06   5.3339433E+06   7.0310548E+06   1.0990452E+04   3.0082252E+05   5.3340508E+06   5.3339433E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   9.8326553E-05   5.3338664E+06   5.3338664E+06   7.0185145E+06   1.0978362E+04   3.0059238E+05   5.3339674E+06   5.3338664E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.0566248E-04   5.3337776E+06   5.3337776E+06   7.0040597E+06   1.0964421E+04   3.0032745E+05   5.3338711E+06   5.3337776E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1354573E-04   5.3336750E+06   5.3336750E+06   6.9874028E+06   1.0948346E+04   3.0002261E+05   5.3337600E+06   5.3336750E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.2201713E-04   5.3335567E+06   5.3335567E+06   6.9682145E+06   1.0929817E+04   2.9967206E+05   5.3336317E+06   5.3335567E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
