#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   1.1187553E-05   1.7131142E+07   1.7131142E+07   2.2831143E+07   1.0279256E+04   1.9036617E+07   1.7131155E+07   1.7131142E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.2022232E-05   1.7131139E+07   1.7131139E+07   2.2829533E+07   1.0278787E+04   1.9036280E+07   1.7131151E+07   1.7131139E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.2919185E-05   1.7131135E+07   1.7131135E+07   2.2827673E+07   1.0278245E+04   1.9035891E+07   1.7131147E+07   1.7131135E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3883057E-05   1.7131131E+07   1.7131131E+07   2.2825526E+07   1.0277620E+04   1.9035441E+07   1.7131143E+07   1.7131131E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4918842E-05   1.7131126E+07   1.7131126E+07   2.2823047E+07   1.0276899E+04   1.9034922E+07   1.7131138E+07   1.7131126E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6031904E-05   1.7131120E+07   1.7131120E+07   2.2820184E+07   1.0276065E+04   1.9034323E+07   1.7131132E+07   1.7131120E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.7228010E-05   1.7131113E+07   1.7131113E+07   2.2816878E+07   1.0275103E+04   1.9033631E+07   1.7131125E+07   1.7131113E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8513354E-05   1.7131105E+07   1.7131105E+07   2.2813061E+07   1.0273992E+04   1.9032832E+07   1.7131116E+07   1.7131105E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.9894596E-05   1.7131096E+07   1.7131096E+07   2.2808655E+07   1.0272709E+04   1.9031910E+07   1.7131107E+07   1.7131096E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.1378888E-05   1.7131086E+07   1.7131086E+07   2.2803567E+07   1.0271228E+04   1.9030845E+07   1.7131096E+07   1.7131086E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
