#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   1.1252467E-05   6.6258894E+06   6.6258894E+06   8.8328375E+06   7.0008384E+03   9.8033410E+05   6.6259501E+06   6.6258894E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.2091989E-05   6.6258885E+06   6.6258885E+06   8.8325760E+06   7.0007085E+03   9.8032580E+05   6.6259490E+06   6.6258885E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.2994146E-05   6.6258874E+06   6.6258874E+06   8.8322739E+06   7.0005584E+03   9.8031622E+05   6.6259479E+06   6.6258874E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3963611E-05   6.6258861E+06   6.6258861E+06   8.8319252E+06   7.0003851E+03   9.8030515E+05   6.6259465E+06   6.6258861E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.5005406E-05   6.6258846E+06   6.6258846E+06   8.8315225E+06   7.0001850E+03   9.8029237E+05   6.6259449E+06   6.6258846E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6124927E-05   6.6258829E+06   6.6258829E+06   8.8310575E+06   6.9999539E+03   9.8027761E+05   6.6259431E+06   6.6258829E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.7327972E-05   6.6258810E+06   6.6258810E+06   8.8305205E+06   6.9996870E+03   9.8026057E+05   6.6259411E+06   6.6258810E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8620775E-05   6.6258787E+06   6.6258787E+06   8.8299004E+06   6.9993789E+03   9.8024089E+05   6.6259386E+06   6.6258787E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.0010030E-05   6.6258761E+06   6.6258761E+06   8.8291845E+06   6.9990231E+03   9.8021817E+05   6.6259359E+06   6.6258761E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.1502935E-05   6.6258731E+06   6.6258731E+06   8.8283578E+06   6.9986122E+03   9.8019194E+05   6.6259327E+06   6.6258731E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.3107223E-05   6.6258696E+06   6.6258696E+06   8.8274032E+06   6.9981378E+03   9.8016165E+05   6.6259289E+06   6.6258696E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.4831202E-05   6.6258656E+06   6.6258656E+06   8.8263010E+06   6.9975900E+03   9.8012668E+05   6.6259247E+06   6.6258656E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.6683804E-05   6.6258609E+06   6.6258609E+06   8.8250283E+06   6.9969575E+03   9.8008631E+05   6.6259197E+06   6.6258609E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.8674625E-05   6.6258556E+06   6.6258556E+06   8.8235589E+06   6.9962271E+03   9.8003970E+05   6.6259140E+06   6.6258556E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.0813977E-05   6.6258494E+06   6.6258494E+06   8.8218623E+06   6.9953838E+03   9.7998589E+05   6.6259074E+06   6.6258494E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.3112941E-05   6.6258422E+06   6.6258422E+06   8.8199036E+06   6.9944101E+03   9.7992377E+05   6.6258998E+06   6.6258422E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.5583425E-05   6.6258340E+06   6.6258340E+06   8.8176421E+06   6.9932860E+03   9.7985207E+05   6.6258910E+06   6.6258340E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.8238227E-05   6.6258245E+06   6.6258245E+06   8.8150313E+06   6.9919880E+03   9.7976930E+05   6.6258808E+06   6.6258245E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.1091098E-05   6.6258135E+06   6.6258135E+06   8.8120174E+06   6.9904895E+03   9.7967377E+05   6.6258691E+06   6.6258135E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
