#        a       HoverH0(a)       dlogHdloga_of_a(a)
   1.6523767E-04   4.4194169E+05   -1.8197699E+00
   1.6600075E-04   4.3825224E+05   -1.8192384E+00
   1.6676736E-04   4.3459466E+05   -1.8187063E+00
   1.6753751E-04   4.3096865E+05   -1.8181735E+00
   1.6831122E-04   4.2737395E+05   -1.8176400E+00
   1.6908849E-04   4.2381028E+05   -1.8171059E+00
   1.6986936E-04   4.2027736E+05   -1.8165711E+00
   1.7065384E-04   4.1677491E+05   -1.8160356E+00
   1.7144193E-04   4.1330267E+05   -1.8154995E+00
   1.7223367E-04   4.0986038E+05   -1.8149628E+00
   1.7302906E-04   4.0644776E+05   -1.8144254E+00
   1.7382813E-04   4.0306455E+05   -1.8138873E+00
   1.7463089E-04   3.9971050E+05   -1.8133486E+00
   1.7543735E-04   3.9638534E+05   -1.8128093E+00
   1.7624754E-04   3.9308882E+05   -1.8122694E+00
   1.7706147E-04   3.8982068E+05   -1.8117289E+00
   1.7787916E-04   3.8658068E+05   -1.8111877E+00
   1.7870062E-04   3.8336857E+05   -1.8106459E+00
   1.7952588E-04   3.8018409E+05   -1.8101035E+00
   1.8035495E-04   3.7702701E+05   -1.8095606E+00
   1.8118785E-04   3.7389709E+05   -1.8090170E+00
   1.8202459E-04   3.7079407E+05   -1.8084728E+00
   1.8286520E-04   3.6771773E+05   -1.8079281E+00
   1.8370969E-04   3.6466783E+05   -1.8073827E+00
   1.8455808E-04   3.6164413E+05   -1.8068368E+00
   1.8541039E-04   3.5864641E+05   -1.8062903E+00
   1.8626663E-04   3.5567443E+05   -1.8057433E+00
   1.8712683E-04   3.5272797E+05   -1.8051956E+00
   1.8799100E-04   3.4980681E+05   -1.8046475E+00
   1.8885917E-04   3.4691071E+05   -1.8040987E+00
   1.8973134E-04   3.4403946E+05   -1.8035495E+00
   1.9060754E-04   3.4119283E+05   -1.8029996E+00
   1.9148778E-04   3.3837062E+05   -1.8024493E+00
   1.9237209E-04   3.3557260E+05   -1.8018984E+00
   1.9326049E-04   3.3279857E+05   -1.8013470E+00
   1.9415299E-04   3.3004830E+05   -1.8007950E+00
   1.9504960E-04   3.2732160E+05   -1.8002426E+00
   1.9595036E-04   3.2461825E+05   -1.7996896E+00
   1.9685528E-04   3.2193805E+05   -1.7991361E+00
   1.9776438E-04   3.1928079E+05   -1.7985821E+00
   1.9867768E-04   3.1664627E+05   -1.7980277E+00
   1.9959519E-04   3.1403429E+05   -1.7974727E+00
   2.0051694E-04   3.1144466E+05   -1.7969173E+00
   2.0144295E-04   3.0887717E+05   -1.7963613E+00
   2.0237324E-04   3.0633164E+05   -1.7958049E+00
   2.0330782E-04   3.0380786E+05   -1.7952480E+00
   2.0424671E-04   3.0130564E+05   -1.7946907E+00
   2.0518995E-04   2.9882481E+05   -1.7941329E+00
   2.0613754E-04   2.9636516E+05   -1.7935746E+00
   2.0708950E-04   2.9392651E+05   -1.7930159E+00
   2.0804586E-04   2.9150868E+05   -1.7924568E+00
   2.0900664E-04   2.8911149E+05   -1.7918972E+00
   2.0997185E-04   2.8673474E+05   -1.7913372E+00
   2.1094152E-04   2.8437827E+05   -1.7907767E+00
   2.1191567E-04   2.8204190E+05   -1.7902159E+00
   2.1289432E-04   2.7972544E+05   -1.7896546E+00
   2.1387749E-04   2.7742873E+05   -1.7890929E+00
   2.1486520E-04   2.7515158E+05   -1.7885308E+00
   2.1585747E-04   2.7289384E+05   -1.7879683E+00
   2.1685432E-04   2.7065532E+05   -1.7874054E+00
   2.1785578E-04   2.6843586E+05   -1.7868421E+00
   2.1886186E-04   2.6623529E+05   -1.7862784E+00
   2.1987259E-04   2.6405345E+05   -1.7857144E+00
   2.2088798E-04   2.6189017E+05   -1.7851500E+00
   2.2190807E-04   2.5974528E+05   -1.7845852E+00
   2.2293286E-04   2.5761864E+05   -1.7840201E+00
   2.2396239E-04   2.5551007E+05   -1.7834546E+00
   2.2499667E-04   2.5341942E+05   -1.7828887E+00
   2.2603573E-04   2.5134653E+05   -1.7823225E+00
   2.2707958E-04   2.4929125E+05   -1.7817560E+00
   2.2812826E-04   2.4725342E+05   -1.7811891E+00
   2.2918178E-04   2.4523289E+05   -1.7806220E+00
   2.3024017E-04   2.4322951E+05   -1.7800544E+00
   2.3130344E-04   2.4124312E+05   -1.7794866E+00
   2.3237162E-04   2.3927358E+05   -1.7789185E+00
   2.3344474E-04   2.3732075E+05   -1.7783501E+00
   2.3452281E-04   2.3538446E+05   -1.7777813E+00
   2.3560586E-04   2.3346459E+05   -1.7772123E+00
   2.3669392E-04   2.3156099E+05   -1.7766430E+00
   2.3778699E-04   2.2967351E+05   -1.7760734E+00
   2.3888512E-04   2.2780201E+05   -1.7755036E+00
   2.3998831E-04   2.2594635E+05   -1.7749334E+00
   2.4109661E-04   2.2410640E+05   -1.7743630E+00
   2.4221001E-04   2.2228202E+05   -1.7737924E+00
   2.4332857E-04   2.2047307E+05   -1.7732215E+00
   2.4445228E-04   2.1867941E+05   -1.7726503E+00
   2.4558119E-04   2.1690092E+05   -1.7720790E+00
   2.4671531E-04   2.1513746E+05   -1.7715073E+00
   2.4785467E-04   2.1338890E+05   -1.7709355E+00
   2.4899928E-04   2.1165510E+05   -1.7703634E+00
   2.5014919E-04   2.0993595E+05   -1.7697911E+00
   2.5130440E-04   2.0823132E+05   -1.7692187E+00
   2.5246495E-04   2.0654106E+05   -1.7686460E+00
   2.5363086E-04   2.0486507E+05   -1.7680731E+00
   2.5480216E-04   2.0320322E+05   -1.7675000E+00
   2.5597886E-04   2.0155537E+05   -1.7669267E+00
   2.5716100E-04   1.9992142E+05   -1.7663533E+00
   2.5834859E-04   1.9830124E+05   -1.7657797E+00
   2.5954168E-04   1.9669471E+05   -1.7652059E+00
   2.6074027E-04   1.9510171E+05   -1.7646319E+00
   2.6194439E-04   1.9352212E+05   -1.7640578E+00
   2.6315408E-04   1.9195583E+05   -1.7634836E+00
   2.6436935E-04   1.9040273E+05   -1.7629092E+00
   2.6559024E-04   1.8886268E+05   -1.7623347E+00
   2.6681676E-04   1.8733559E+05   -1.7617600E+00
   2.6804895E-04   1.8582134E+05   -1.7611852E+00
   2.6928683E-04   1.8431982E+05   -1.7606103E+00
   2.7053042E-04   1.8283091E+05   -1.7600353E+00
   2.7177976E-04   1.8135451E+05   -1.7594601E+00
   2.7303487E-04   1.7989052E+05   -1.7588849E+00
   2.7429577E-04   1.7843881E+05   -1.7583096E+00
   2.7556250E-04   1.7699928E+05   -1.7577342E+00
   2.7683507E-04   1.7557184E+05   -1.7571587E+00
   2.7811353E-04   1.7415637E+05   -1.7565831E+00
   2.7939788E-04   1.7275277E+05   -1.7560075E+00
   2.8068817E-04   1.7136093E+05   -1.7554318E+00
   2.8198442E-04   1.6998076E+05   -1.7548560E+00
   2.8328665E-04   1.6861216E+05   -1.7542802E+00
   2.8459490E-04   1.6725501E+05   -1.7537043E+00
   2.8590919E-04   1.6590923E+05   -1.7531284E+00
   2.8722955E-04   1.6457472E+05   -1.7525525E+00
   2.8855600E-04   1.6325137E+05   -1.7519765E+00
   2.8988859E-04   1.6193909E+05   -1.7514006E+00
   2.9122732E-04   1.6063779E+05   -1.7508246E+00
   2.9257224E-04   1.5934737E+05   -1.7502486E+00
   2.9392337E-04   1.5806774E+05   -1.7496725E+00
   2.9528074E-04   1.5679879E+05   -1.7490965E+00
   2.9664438E-04   1.5554045E+05   -1.7485205E+00
   2.9801431E-04   1.5429261E+05   -1.7479446E+00
   2.9939057E-04   1.5305519E+05   -1.7473686E+00
   3.0077319E-04   1.5182810E+05   -1.7467927E+00
   3.0216219E-04   1.5061125E+05   -1.7462168E+00
   3.0355761E-04   1.4940454E+05   -1.7456409E+00
   3.0495947E-04   1.4820790E+05   -1.7450651E+00
   3.0636780E-04   1.4702123E+05   -1.7444893E+00
   3.0778264E-04   1.4584445E+05   -1.7439136E+00
   3.0920401E-04   1.4467747E+05   -1.7433380E+00
   3.1063195E-04   1.4352021E+05   -1.7427624E+00
   3.1206648E-04   1.4237258E+05   -1.7421869E+00
   3.1350764E-04   1.4123451E+05   -1.7416115E+00
   3.1495545E-04   1.4010590E+05   -1.7410361E+00
   3.1640994E-04   1.3898669E+05   -1.7404609E+00
   3.1787116E-04   1.3787677E+05   -1.7398858E+00
   3.1933912E-04   1.3677609E+05   -1.7393108E+00
   3.2081386E-04   1.3568455E+05   -1.7387359E+00
   3.2229541E-04   1.3460207E+05   -1.7381611E+00
   3.2378381E-04   1.3352859E+05   -1.7375864E+00
   3.2527908E-04   1.3246402E+05   -1.7370119E+00
   3.2678125E-04   1.3140828E+05   -1.7364375E+00
   3.2829036E-04   1.3036131E+05   -1.7358632E+00
   3.2980644E-04   1.2932301E+05   -1.7352891E+00
   3.3132952E-04   1.2829333E+05   -1.7347151E+00
   3.3285963E-04   1.2727218E+05   -1.7341413E+00
   3.3439681E-04   1.2625949E+05   -1.7335677E+00
   3.3594109E-04   1.2525519E+05   -1.7329943E+00
   3.3749250E-04   1.2425921E+05   -1.7324210E+00
   3.3905108E-04   1.2327148E+05   -1.7318479E+00
   3.4061685E-04   1.2229191E+05   -1.7312750E+00
   3.4218986E-04   1.2132046E+05   -1.7307023E+00
   3.4377013E-04   1.2035703E+05   -1.7301298E+00
   3.4535769E-04   1.1940157E+05   -1.7295575E+00
   3.4695259E-04   1.1845401E+05   -1.7289854E+00
   3.4855485E-04   1.1751428E+05   -1.7284136E+00
   3.5016452E-04   1.1658231E+05   -1.7278420E+00
   3.5178161E-04   1.1565804E+05   -1.7272706E+00
   3.5340618E-04   1.1474139E+05   -1.7266994E+00
   3.5503824E-04   1.1383231E+05   -1.7261285E+00
   3.5667785E-04   1.1293074E+05   -1.7255579E+00
   3.5832502E-04   1.1203659E+05   -1.7249875E+00
   3.5997981E-04   1.1114982E+05   -1.7244173E+00
   3.6164223E-04   1.1027035E+05   -1.7238474E+00
   3.6331233E-04   1.0939813E+05   -1.7232778E+00
   3.6499015E-04   1.0853310E+05   -1.7227085E+00
   3.6667571E-04   1.0767519E+05   -1.7221395E+00
   3.6836906E-04   1.0682434E+05   -1.7215707E+00
   3.7007022E-04   1.0598049E+05   -1.7210023E+00
   3.7177925E-04   1.0514358E+05   -1.7204342E+00
   3.7349616E-04   1.0431355E+05   -1.7198663E+00
   3.7522101E-04   1.0349035E+05   -1.7192988E+00
   3.7695382E-04   1.0267391E+05   -1.7187316E+00
   3.7869463E-04   1.0186418E+05   -1.7181647E+00
   3.8044348E-04   1.0106109E+05   -1.7175982E+00
   3.8220041E-04   1.0026460E+05   -1.7170320E+00
   3.8396545E-04   9.9474652E+04   -1.7164661E+00
   3.8573864E-04   9.8691181E+04   -1.7159006E+00
   3.8752002E-04   9.7914136E+04   -1.7153355E+00
   3.8930963E-04   9.7143461E+04   -1.7147707E+00
   3.9110750E-04   9.6379103E+04   -1.7142062E+00
   3.9291368E-04   9.5621008E+04   -1.7136422E+00
   3.9472820E-04   9.4869122E+04   -1.7130785E+00
   3.9655109E-04   9.4123393E+04   -1.7125152E+00
   3.9838241E-04   9.3383768E+04   -1.7119523E+00
   4.0022218E-04   9.2650195E+04   -1.7113898E+00
   4.0207045E-04   9.1922623E+04   -1.7108277E+00
   4.0392725E-04   9.1201001E+04   -1.7102659E+00
   4.0579263E-04   9.0485278E+04   -1.7097046E+00
   4.0766662E-04   8.9775404E+04   -1.7091438E+00
   4.0954927E-04   8.9071328E+04   -1.7085833E+00
   4.1144061E-04   8.8373003E+04   -1.7080233E+00
   4.1334068E-04   8.7680379E+04   -1.7074637E+00
   4.1524953E-04   8.6993408E+04   -1.7069045E+00
   4.1716720E-04   8.6312041E+04   -1.7063458E+00
   4.1909372E-04   8.5636231E+04   -1.7057875E+00
   4.2102914E-04   8.4965931E+04   -1.7052297E+00
   4.2297350E-04   8.4301094E+04   -1.7046723E+00
   4.2492683E-04   8.3641675E+04   -1.7041154E+00
   4.2688919E-04   8.2987626E+04   -1.7035590E+00
   4.2886061E-04   8.2338903E+04   -1.7030030E+00
   4.3084113E-04   8.1695460E+04   -1.7024475E+00
   4.3283080E-04   8.1057253E+04   -1.7018926E+00
   4.3482966E-04   8.0424236E+04   -1.7013381E+00
   4.3683775E-04   7.9796368E+04   -1.7007841E+00
   4.3885511E-04   7.9173603E+04   -1.7002306E+00
   4.4088179E-04   7.8555898E+04   -1.6996776E+00
   4.4291783E-04   7.7943211E+04   -1.6991251E+00
   4.4496327E-04   7.7335500E+04   -1.6985731E+00
   4.4701816E-04   7.6732722E+04   -1.6980217E+00
   4.4908253E-04   7.6134835E+04   -1.6974708E+00
   4.5115644E-04   7.5541799E+04   -1.6969204E+00
   4.5323993E-04   7.4953572E+04   -1.6963705E+00
   4.5533304E-04   7.4370114E+04   -1.6958212E+00
   4.5743582E-04   7.3791384E+04   -1.6952725E+00
   4.5954830E-04   7.3217343E+04   -1.6947243E+00
   4.6167054E-04   7.2647951E+04   -1.6941766E+00
   4.6380259E-04   7.2083168E+04   -1.6936295E+00
   4.6594448E-04   7.1522957E+04   -1.6930830E+00
   4.6809626E-04   7.0967278E+04   -1.6925371E+00
   4.7025797E-04   7.0416093E+04   -1.6919917E+00
   4.7242967E-04   6.9869365E+04   -1.6914469E+00
   4.7461140E-04   6.9327055E+04   -1.6909027E+00
   4.7680321E-04   6.8789127E+04   -1.6903591E+00
   4.7900514E-04   6.8255544E+04   -1.6898161E+00
   4.8121723E-04   6.7726269E+04   -1.6892737E+00
   4.8343954E-04   6.7201266E+04   -1.6887319E+00
   4.8567212E-04   6.6680500E+04   -1.6881907E+00
   4.8791500E-04   6.6163934E+04   -1.6876501E+00
   4.9016825E-04   6.5651533E+04   -1.6871102E+00
   4.9243189E-04   6.5143262E+04   -1.6865708E+00
   4.9470600E-04   6.4639087E+04   -1.6860321E+00
   4.9699060E-04   6.4138972E+04   -1.6854940E+00
   4.9928575E-04   6.3642885E+04   -1.6849566E+00
   5.0159151E-04   6.3150792E+04   -1.6844198E+00
   5.0390791E-04   6.2662658E+04   -1.6838837E+00
   5.0623501E-04   6.2178450E+04   -1.6833482E+00
   5.0857286E-04   6.1698137E+04   -1.6828133E+00
   5.1092150E-04   6.1221684E+04   -1.6822792E+00
   5.1328099E-04   6.0749060E+04   -1.6817457E+00
   5.1565137E-04   6.0280233E+04   -1.6812128E+00
   5.1803270E-04   5.9815171E+04   -1.6806807E+00
   5.2042503E-04   5.9353843E+04   -1.6801492E+00
   5.2282841E-04   5.8896216E+04   -1.6796184E+00
   5.2524289E-04   5.8442260E+04   -1.6790882E+00
   5.2766851E-04   5.7991946E+04   -1.6785588E+00
   5.3010534E-04   5.7545241E+04   -1.6780301E+00
   5.3255342E-04   5.7102116E+04   -1.6775021E+00
   5.3501281E-04   5.6662541E+04   -1.6769747E+00
   5.3748356E-04   5.6226486E+04   -1.6764481E+00
   5.3996571E-04   5.5793923E+04   -1.6759222E+00
   5.4245933E-04   5.5364821E+04   -1.6753970E+00
   5.4496446E-04   5.4939153E+04   -1.6748725E+00
   5.4748117E-04   5.4516888E+04   -1.6743488E+00
   5.5000949E-04   5.4098000E+04   -1.6738258E+00
   5.5254949E-04   5.3682460E+04   -1.6733035E+00
   5.5510123E-04   5.3270239E+04   -1.6727819E+00
   5.5766474E-04   5.2861311E+04   -1.6722611E+00
   5.6024010E-04   5.2455648E+04   -1.6717411E+00
   5.6282734E-04   5.2053223E+04   -1.6712218E+00
   5.6542654E-04   5.1654008E+04   -1.6707032E+00
   5.6803774E-04   5.1257977E+04   -1.6701854E+00
   5.7066099E-04   5.0865105E+04   -1.6696683E+00
   5.7329637E-04   5.0475363E+04   -1.6691521E+00
   5.7594391E-04   5.0088727E+04   -1.6686365E+00
   5.7860368E-04   4.9705170E+04   -1.6681218E+00
   5.8127573E-04   4.9324668E+04   -1.6676078E+00
   5.8396012E-04   4.8947194E+04   -1.6670946E+00
   5.8665691E-04   4.8572723E+04   -1.6665822E+00
   5.8936616E-04   4.8201231E+04   -1.6660706E+00
   5.9208791E-04   4.7832694E+04   -1.6655598E+00
   5.9482223E-04   4.7467085E+04   -1.6650497E+00
   5.9756919E-04   4.7104382E+04   -1.6645405E+00
   6.0032882E-04   4.6744559E+04   -1.6640321E+00
   6.0310120E-04   4.6387594E+04   -1.6635244E+00
   6.0588639E-04   4.6033462E+04   -1.6630176E+00
   6.0868443E-04   4.5682141E+04   -1.6625116E+00
   6.1149540E-04   4.5333606E+04   -1.6620064E+00
   6.1431935E-04   4.4987835E+04   -1.6615020E+00
   6.1715634E-04   4.4644805E+04   -1.6609984E+00
   6.2000644E-04   4.4304494E+04   -1.6604956E+00
   6.2286969E-04   4.3966878E+04   -1.6599937E+00
   6.2574617E-04   4.3631936E+04   -1.6594926E+00
