#        a       HoverH0(a)       dlogHdloga_of_a(a)
   1.0000000E-04   1.1071866E+06   -1.8604965E+00
   1.0046181E-04   1.0977373E+06   -1.8600326E+00
   1.0092575E-04   1.0883710E+06   -1.8595678E+00
   1.0139184E-04   1.0790869E+06   -1.8591020E+00
   1.0186008E-04   1.0698844E+06   -1.8586352E+00
   1.0233048E-04   1.0607626E+06   -1.8581676E+00
   1.0280305E-04   1.0517208E+06   -1.8576990E+00
   1.0327781E-04   1.0427583E+06   -1.8572295E+00
   1.0375475E-04   1.0338745E+06   -1.8567590E+00
   1.0423390E-04   1.0250686E+06   -1.8562876E+00
   1.0471527E-04   1.0163399E+06   -1.8558153E+00
   1.0519885E-04   1.0076877E+06   -1.8553421E+00
   1.0568467E-04   9.9911131E+05   -1.8548679E+00
   1.0617274E-04   9.9061012E+05   -1.8543929E+00
   1.0666305E-04   9.8218341E+05   -1.8539169E+00
   1.0715563E-04   9.7383052E+05   -1.8534400E+00
   1.0765049E-04   9.6555080E+05   -1.8529622E+00
   1.0814763E-04   9.5734358E+05   -1.8524835E+00
   1.0864707E-04   9.4920821E+05   -1.8520038E+00
   1.0914881E-04   9.4114407E+05   -1.8515233E+00
   1.0965287E-04   9.3315049E+05   -1.8510419E+00
   1.1015926E-04   9.2522687E+05   -1.8505596E+00
   1.1066799E-04   9.1737257E+05   -1.8500764E+00
   1.1117906E-04   9.0958697E+05   -1.8495923E+00
   1.1169250E-04   9.0186946E+05   -1.8491073E+00
   1.1220831E-04   8.9421943E+05   -1.8486214E+00
   1.1272650E-04   8.8663627E+05   -1.8481346E+00
   1.1324708E-04   8.7911940E+05   -1.8476470E+00
   1.1377007E-04   8.7166822E+05   -1.8471585E+00
   1.1429547E-04   8.6428213E+05   -1.8466691E+00
   1.1482330E-04   8.5696057E+05   -1.8461788E+00
   1.1535356E-04   8.4970295E+05   -1.8456876E+00
   1.1588628E-04   8.4250871E+05   -1.8451956E+00
   1.1642145E-04   8.3537727E+05   -1.8447028E+00
   1.1695910E-04   8.2830808E+05   -1.8442090E+00
   1.1749923E-04   8.2130058E+05   -1.8437144E+00
   1.1804185E-04   8.1435422E+05   -1.8432190E+00
   1.1858698E-04   8.0746845E+05   -1.8427227E+00
   1.1913463E-04   8.0064274E+05   -1.8422255E+00
   1.1968481E-04   7.9387655E+05   -1.8417275E+00
   1.2023752E-04   7.8716935E+05   -1.8412287E+00
   1.2079279E-04   7.8052061E+05   -1.8407290E+00
   1.2135063E-04   7.7392982E+05   -1.8402285E+00
   1.2191104E-04   7.6739644E+05   -1.8397271E+00
   1.2247403E-04   7.6091999E+05   -1.8392250E+00
   1.2303963E-04   7.5449993E+05   -1.8387220E+00
   1.2360784E-04   7.4813578E+05   -1.8382181E+00
   1.2417868E-04   7.4182703E+05   -1.8377135E+00
   1.2475215E-04   7.3557319E+05   -1.8372080E+00
   1.2532826E-04   7.2937378E+05   -1.8367017E+00
   1.2590704E-04   7.2322830E+05   -1.8361947E+00
   1.2648850E-04   7.1713628E+05   -1.8356868E+00
   1.2707263E-04   7.1109724E+05   -1.8351781E+00
   1.2765947E-04   7.0511070E+05   -1.8346686E+00
   1.2824901E-04   6.9917622E+05   -1.8341583E+00
   1.2884128E-04   6.9329331E+05   -1.8336472E+00
   1.2943628E-04   6.8746151E+05   -1.8331353E+00
   1.3003403E-04   6.8168039E+05   -1.8326227E+00
   1.3063454E-04   6.7594947E+05   -1.8321092E+00
