#        a       HoverH0(a)       dlogHdloga_of_a(a)
   1.6523767E-04   4.4278164E+05   -1.8370869E+00
   1.6600075E-04   4.3905012E+05   -1.8365804E+00
   1.6676736E-04   4.3535106E+05   -1.8360731E+00
   1.6753751E-04   4.3168418E+05   -1.8355650E+00
   1.6831122E-04   4.2804918E+05   -1.8350561E+00
   1.6908849E-04   4.2444580E+05   -1.8345464E+00
   1.6986936E-04   4.2087373E+05   -1.8340359E+00
   1.7065384E-04   4.1733271E+05   -1.8335246E+00
   1.7144193E-04   4.1382245E+05   -1.8330125E+00
   1.7223367E-04   4.1034269E+05   -1.8324996E+00
   1.7302906E-04   4.0689316E+05   -1.8319860E+00
   1.7382813E-04   4.0347357E+05   -1.8314716E+00
   1.7463089E-04   4.0008368E+05   -1.8309564E+00
   1.7543735E-04   3.9672321E+05   -1.8304404E+00
   1.7624754E-04   3.9339190E+05   -1.8299237E+00
   1.7706147E-04   3.9008949E+05   -1.8294062E+00
   1.7787916E-04   3.8681573E+05   -1.8288880E+00
   1.7870062E-04   3.8357036E+05   -1.8283690E+00
   1.7952588E-04   3.8035313E+05   -1.8278492E+00
   1.8035495E-04   3.7716379E+05   -1.8273287E+00
   1.8118785E-04   3.7400208E+05   -1.8268075E+00
   1.8202459E-04   3.7086778E+05   -1.8262855E+00
   1.8286520E-04   3.6776062E+05   -1.8257628E+00
   1.8370969E-04   3.6468038E+05   -1.8252393E+00
   1.8455808E-04   3.6162681E+05   -1.8247152E+00
   1.8541039E-04   3.5859967E+05   -1.8241903E+00
   1.8626663E-04   3.5559874E+05   -1.8236647E+00
   1.8712683E-04   3.5262377E+05   -1.8231383E+00
   1.8799100E-04   3.4967454E+05   -1.8226113E+00
   1.8885917E-04   3.4675081E+05   -1.8220836E+00
   1.8973134E-04   3.4385237E+05   -1.8215551E+00
   1.9060754E-04   3.4097899E+05   -1.8210260E+00
   1.9148778E-04   3.3813045E+05   -1.8204961E+00
   1.9237209E-04   3.3530652E+05   -1.8199656E+00
   1.9326049E-04   3.3250699E+05   -1.8194344E+00
   1.9415299E-04   3.2973164E+05   -1.8189025E+00
   1.9504960E-04   3.2698025E+05   -1.8183700E+00
   1.9595036E-04   3.2425262E+05   -1.8178367E+00
   1.9685528E-04   3.2154854E+05   -1.8173028E+00
   1.9776438E-04   3.1886779E+05   -1.8167682E+00
   1.9867768E-04   3.1621017E+05   -1.8162330E+00
   1.9959519E-04   3.1357548E+05   -1.8156971E+00
   2.0051694E-04   3.1096350E+05   -1.8151606E+00
   2.0144295E-04   3.0837404E+05   -1.8146234E+00
   2.0237324E-04   3.0580691E+05   -1.8140856E+00
   2.0330782E-04   3.0326189E+05   -1.8135472E+00
   2.0424671E-04   3.0073881E+05   -1.8130081E+00
   2.0518995E-04   2.9823745E+05   -1.8124684E+00
   2.0613754E-04   2.9575764E+05   -1.8119280E+00
   2.0708950E-04   2.9329918E+05   -1.8113871E+00
   2.0804586E-04   2.9086188E+05   -1.8108455E+00
   2.0900664E-04   2.8844555E+05   -1.8103033E+00
   2.0997185E-04   2.8605001E+05   -1.8097606E+00
   2.1094152E-04   2.8367507E+05   -1.8092172E+00
   2.1191567E-04   2.8132056E+05   -1.8086732E+00
   2.1289432E-04   2.7898629E+05   -1.8081287E+00
   2.1387749E-04   2.7667209E+05   -1.8075835E+00
   2.1486520E-04   2.7437777E+05   -1.8070378E+00
   2.1585747E-04   2.7210316E+05   -1.8064915E+00
   2.1685432E-04   2.6984808E+05   -1.8059447E+00
   2.1785578E-04   2.6761237E+05   -1.8053972E+00
   2.1886186E-04   2.6539585E+05   -1.8048493E+00
   2.1987259E-04   2.6319836E+05   -1.8043007E+00
   2.2088798E-04   2.6101972E+05   -1.8037516E+00
   2.2190807E-04   2.5885977E+05   -1.8032020E+00
   2.2293286E-04   2.5671835E+05   -1.8026518E+00
   2.2396239E-04   2.5459528E+05   -1.8021011E+00
   2.2499667E-04   2.5249041E+05   -1.8015499E+00
   2.2603573E-04   2.5040359E+05   -1.8009981E+00
   2.2707958E-04   2.4833464E+05   -1.8004458E+00
   2.2812826E-04   2.4628341E+05   -1.7998930E+00
   2.2918178E-04   2.4424975E+05   -1.7993397E+00
   2.3024017E-04   2.4223350E+05   -1.7987859E+00
   2.3130344E-04   2.4023450E+05   -1.7982316E+00
   2.3237162E-04   2.3825261E+05   -1.7976768E+00
   2.3344474E-04   2.3628768E+05   -1.7971215E+00
   2.3452281E-04   2.3433955E+05   -1.7965657E+00
   2.3560586E-04   2.3240808E+05   -1.7960095E+00
   2.3669392E-04   2.3049312E+05   -1.7954528E+00
   2.3778699E-04   2.2859452E+05   -1.7948956E+00
   2.3888512E-04   2.2671215E+05   -1.7943379E+00
   2.3998831E-04   2.2484585E+05   -1.7937798E+00
   2.4109661E-04   2.2299549E+05   -1.7932213E+00
   2.4221001E-04   2.2116093E+05   -1.7926623E+00
   2.4332857E-04   2.1934202E+05   -1.7921028E+00
   2.4445228E-04   2.1753864E+05   -1.7915429E+00
   2.4558119E-04   2.1575064E+05   -1.7909826E+00
   2.4671531E-04   2.1397789E+05   -1.7904219E+00
   2.4785467E-04   2.1222025E+05   -1.7898608E+00
   2.4899928E-04   2.1047759E+05   -1.7892992E+00
   2.5014919E-04   2.0874979E+05   -1.7887372E+00
   2.5130440E-04   2.0703670E+05   -1.7881749E+00
   2.5246495E-04   2.0533821E+05   -1.7876121E+00
   2.5363086E-04   2.0365417E+05   -1.7870489E+00
   2.5480216E-04   2.0198448E+05   -1.7864854E+00
   2.5597886E-04   2.0032899E+05   -1.7859215E+00
   2.5716100E-04   1.9868759E+05   -1.7853572E+00
   2.5834859E-04   1.9706015E+05   -1.7847925E+00
   2.5954168E-04   1.9544654E+05   -1.7842275E+00
   2.6074027E-04   1.9384666E+05   -1.7836621E+00
   2.6194439E-04   1.9226037E+05   -1.7830964E+00
   2.6315408E-04   1.9068756E+05   -1.7825303E+00
   2.6436935E-04   1.8912811E+05   -1.7819638E+00
   2.6559024E-04   1.8758191E+05   -1.7813971E+00
   2.6681676E-04   1.8604883E+05   -1.7808300E+00
   2.6804895E-04   1.8452876E+05   -1.7802626E+00
   2.6928683E-04   1.8302159E+05   -1.7796949E+00
   2.7053042E-04   1.8152721E+05   -1.7791268E+00
   2.7177976E-04   1.8004549E+05   -1.7785585E+00
   2.7303487E-04   1.7857635E+05   -1.7779899E+00
   2.7429577E-04   1.7711965E+05   -1.7774209E+00
   2.7556250E-04   1.7567529E+05   -1.7768517E+00
   2.7683507E-04   1.7424318E+05   -1.7762822E+00
