#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   1.1038744E-05   1.3449892E+07   1.3449892E+07   1.7925989E+07   7.6614781E+03   1.0768236E+07   1.3449909E+07   1.3449892E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1862321E-05   1.3449890E+07   1.3449890E+07   1.7924872E+07   7.6611702E+03   1.0768077E+07   1.3449906E+07   1.3449890E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.2747343E-05   1.3449888E+07   1.3449888E+07   1.7923582E+07   7.6608146E+03   1.0767894E+07   1.3449904E+07   1.3449888E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3698394E-05   1.3449885E+07   1.3449885E+07   1.7922092E+07   7.6604040E+03   1.0767683E+07   1.3449901E+07   1.3449885E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4720402E-05   1.3449881E+07   1.3449881E+07   1.7920372E+07   7.6599299E+03   1.0767438E+07   1.3449897E+07   1.3449881E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.5818659E-05   1.3449877E+07   1.3449877E+07   1.7918386E+07   7.6593824E+03   1.0767156E+07   1.3449893E+07   1.3449877E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6998855E-05   1.3449872E+07   1.3449872E+07   1.7916093E+07   7.6587502E+03   1.0766831E+07   1.3449888E+07   1.3449872E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8267102E-05   1.3449867E+07   1.3449867E+07   1.7913445E+07   7.6580203E+03   1.0766455E+07   1.3449882E+07   1.3449867E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.9629971E-05   1.3449861E+07   1.3449861E+07   1.7910387E+07   7.6571775E+03   1.0766021E+07   1.3449876E+07   1.3449861E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.1094521E-05   1.3449854E+07   1.3449854E+07   1.7906857E+07   7.6562043E+03   1.0765519E+07   1.3449868E+07   1.3449854E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.2668337E-05   1.3449846E+07   1.3449846E+07   1.7902782E+07   7.6550807E+03   1.0764941E+07   1.3449860E+07   1.3449846E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.4359573E-05   1.3449836E+07   1.3449836E+07   1.7898077E+07   7.6537835E+03   1.0764273E+07   1.3449850E+07   1.3449836E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.6176987E-05   1.3449825E+07   1.3449825E+07   1.7892645E+07   7.6522857E+03   1.0763502E+07   1.3449838E+07   1.3449825E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.8129996E-05   1.3449812E+07   1.3449812E+07   1.7886374E+07   7.6505565E+03   1.0762612E+07   1.3449825E+07   1.3449812E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.0228713E-05   1.3449798E+07   1.3449798E+07   1.7879134E+07   7.6485602E+03   1.0761586E+07   1.3449810E+07   1.3449798E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.2484012E-05   1.3449781E+07   1.3449781E+07   1.7870778E+07   7.6462557E+03   1.0760400E+07   1.3449792E+07   1.3449781E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.4907574E-05   1.3449761E+07   1.3449761E+07   1.7861133E+07   7.6435954E+03   1.0759033E+07   1.3449772E+07   1.3449761E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.7511952E-05   1.3449739E+07   1.3449739E+07   1.7850002E+07   7.6405247E+03   1.0757455E+07   1.3449748E+07   1.3449739E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.0310637E-05   1.3449713E+07   1.3449713E+07   1.7837155E+07   7.6369804E+03   1.0755635E+07   1.3449721E+07   1.3449713E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.3318126E-05   1.3449683E+07   1.3449683E+07   1.7822331E+07   7.6328897E+03   1.0753535E+07   1.3449690E+07   1.3449683E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.6549998E-05   1.3449648E+07   1.3449648E+07   1.7805227E+07   7.6281690E+03   1.0751113E+07   1.3449654E+07   1.3449648E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.0022992E-05   1.3449608E+07   1.3449608E+07   1.7785494E+07   7.6227217E+03   1.0748321E+07   1.3449612E+07   1.3449608E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.3755099E-05   1.3449562E+07   1.3449562E+07   1.7762733E+07   7.6164367E+03   1.0745102E+07   1.3449564E+07   1.3449562E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.7765650E-05   1.3449508E+07   1.3449508E+07   1.7736483E+07   7.6091861E+03   1.0741393E+07   1.3449508E+07   1.3449508E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   6.2075419E-05   1.3449447E+07   1.3449447E+07   1.7706215E+07   7.6008230E+03   1.0737119E+07   1.3449444E+07   1.3449447E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   6.6706732E-05   1.3449375E+07   1.3449375E+07   1.7671323E+07   7.5911782E+03   1.0732197E+07   1.3449369E+07   1.3449375E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   7.1683576E-05   1.3449293E+07   1.3449293E+07   1.7631110E+07   7.5800576E+03   1.0726530E+07   1.3449284E+07   1.3449293E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
