#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   1.0054498E-05   1.9011186E+07   1.9011186E+07   2.5335165E+07   1.3073374E+04   3.1366944E+07   1.9011191E+07   1.9011186E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.0804642E-05   1.9011181E+07   1.9011181E+07   2.5333135E+07   1.3072703E+04   3.1366055E+07   1.9011186E+07   1.9011181E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1610753E-05   1.9011177E+07   1.9011177E+07   2.5330791E+07   1.3071928E+04   3.1365029E+07   1.9011182E+07   1.9011177E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.2477006E-05   1.9011171E+07   1.9011171E+07   2.5328085E+07   1.3071032E+04   3.1363844E+07   1.9011176E+07   1.9011171E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3407889E-05   1.9011165E+07   1.9011165E+07   2.5324960E+07   1.3069998E+04   3.1362476E+07   1.9011169E+07   1.9011165E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4408222E-05   1.9011158E+07   1.9011158E+07   2.5321352E+07   1.3068805E+04   3.1360896E+07   1.9011162E+07   1.9011158E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.5483188E-05   1.9011149E+07   1.9011149E+07   2.5317186E+07   1.3067426E+04   3.1359072E+07   1.9011153E+07   1.9011149E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6638355E-05   1.9011139E+07   1.9011139E+07   2.5312376E+07   1.3065835E+04   3.1356967E+07   1.9011143E+07   1.9011139E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.7879707E-05   1.9011128E+07   1.9011128E+07   2.5306822E+07   1.3063997E+04   3.1354536E+07   1.9011131E+07   1.9011128E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.9213673E-05   1.9011115E+07   1.9011115E+07   2.5300410E+07   1.3061876E+04   3.1351730E+07   1.9011118E+07   1.9011115E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.0647163E-05   1.9011100E+07   1.9011100E+07   2.5293008E+07   1.3059426E+04   3.1348490E+07   1.9011102E+07   1.9011100E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
